LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LEE ROGERS,DAVID KOSTER BRUCE,MICHAEL MUSSACK,TROY CASTAGNA,STEVE KNIGHT,EVAN THOMAS,TONY STRICKLAND,NAVRAJ SINGH
CITY OF LANCASTER,N,42008,POLLING PLACE,2906,630,43,35,121,1058,324,540,31
CITY OF LANCASTER,N,0,VBM PORTION,3237,660,45,37,108,1213,392,586,20
CITY OF LANCASTER,N,42008,TOTAL,6138,1290,88,72,229,2271,716,1126,51
CITY OF LOS ANGELES,N,9811,POLLING PLACE,1010,248,23,28,56,106,100,320,39
CITY OF LOS ANGELES,N,0,VBM PORTION,1083,272,32,16,82,140,105,259,39
CITY OF LOS ANGELES,N,9811,TOTAL,2091,520,55,44,138,246,205,579,78
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,1332,68,69,158,1766,606,801,36
CITY OF PALMDALE,N,0,VBM PORTION,5361,1295,94,70,191,1939,574,817,50
CITY OF PALMDALE,N,69762,TOTAL,10378,2627,162,139,349,3705,1180,1618,86
CITY OF SANTA CLARITA,N,111807,POLLING PLACE,9825,2097,165,97,662,2546,724,3032,99
CITY OF SANTA CLARITA,N,0,VBM PORTION,12708,2738,198,152,795,3112,1081,3645,127
CITY OF SANTA CLARITA,N,111807,TOTAL,22526,4835,363,249,1457,5658,1805,6677,226
UNINCORPORATED,N,65969,POLLING PLACE,6010,1067,126,75,360,1903,457,1746,59
UNINCORPORATED,N,0,VBM PORTION,6687,1127,150,101,439,1950,508,1857,82
UNINCORPORATED,N,65969,TOTAL,12690,2194,276,176,799,3853,965,3603,141
