LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,711,1820
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,775,1652
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1486,3472
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1280,925
CITY OF ARCADIA,N,0,VBM PORTION,3054,1582,1248
CITY OF ARCADIA,N,29165,TOTAL,5433,2862,2173
CITY OF BRADBURY,N,599,POLLING PLACE,66,37,20
CITY OF BRADBURY,N,0,VBM PORTION,67,38,28
CITY OF BRADBURY,N,599,TOTAL,133,75,48
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,915,1808
CITY OF CLAREMONT,N,0,VBM PORTION,2652,944,1535
CITY OF CLAREMONT,N,22235,TOTAL,5533,1859,3343
CITY OF GLENDORA,N,22989,POLLING PLACE,2182,1318,639
CITY OF GLENDORA,N,0,VBM PORTION,2298,1393,730
CITY OF GLENDORA,N,22989,TOTAL,4480,2711,1369
CITY OF MONROVIA,N,2654,POLLING PLACE,402,230,137
CITY OF MONROVIA,N,0,VBM PORTION,411,202,172
CITY OF MONROVIA,N,2654,TOTAL,803,432,309
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,555,1576
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,634,1879
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1189,3455
CITY OF PASADENA,N,69587,POLLING PLACE,5883,1507,3929
CITY OF PASADENA,N,0,VBM PORTION,6744,2025,4258
CITY OF PASADENA,N,69587,TOTAL,12618,3532,8187
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,275,762
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,291,912
CITY OF ROSEMEAD,N,20579,TOTAL,2488,566,1674
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,495,694
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,394,769
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,889,1463
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,428,319
CITY OF SAN MARINO,N,0,VBM PORTION,1161,618,456
CITY OF SAN MARINO,N,8559,TOTAL,1956,1046,775
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,485,619
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,475,552
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,960,1171
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,521,1345
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,563,1162
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1084,2507
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,645,730
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,552,855
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1197,1585
UNINCORPORATED,N,54986,POLLING PLACE,5310,1631,3325
UNINCORPORATED,N,0,VBM PORTION,5847,1946,3446
UNINCORPORATED,N,54986,TOTAL,11145,3577,6771
