LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MICHELLE WALKER,SANDRA MENDOZA,MICHAEL ALDAPA,MIGUEL SANTIAGO
CITY OF HUNTINGTON PARK,N,14934,POLLING PLACE,916,51,214,37,516
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,542,51,121,41,271
CITY OF HUNTINGTON PARK,N,14934,TOTAL,1457,102,335,78,787
CITY OF LOS ANGELES,N,132387,POLLING PLACE,10428,941,2220,699,4927
CITY OF LOS ANGELES,N,0,VBM PORTION,8479,921,1398,639,3670
CITY OF LOS ANGELES,N,132387,TOTAL,18901,1862,3618,1338,8597
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,16,0,2,7,3
CITY OF VERNON,N,60,TOTAL,15,0,2,7,3
UNINCORPORATED,N,60,POLLING PLACE,0,0,0,0,0
UNINCORPORATED,N,0,VBM PORTION,16,0,2,7,3
UNINCORPORATED,N,60,TOTAL,15,0,2,7,3
