LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,S M RIDLEY THOMAS,GLEN RATCLIFF
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,2303,850
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1808,778
CITY OF CULVER CITY,N,26286,TOTAL,6708,4111,1628
CITY OF INGLEWOOD,N,229,POLLING PLACE,38,29,0
CITY OF INGLEWOOD,N,0,VBM PORTION,37,27,6
CITY OF INGLEWOOD,N,229,TOTAL,74,56,6
CITY OF LOS ANGELES,N,230666,POLLING PLACE,20805,14381,3651
CITY OF LOS ANGELES,N,0,VBM PORTION,19536,12763,3855
CITY OF LOS ANGELES,N,230666,TOTAL,40334,27144,7506
UNINCORPORATED,N,15184,POLLING PLACE,2216,1765,223
UNINCORPORATED,N,0,VBM PORTION,1829,1386,222
UNINCORPORATED,N,15184,TOTAL,4032,3151,445
