LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA
CITY OF ARTESIA,N,7390,POLLING PLACE,555,288
CITY OF ARTESIA,N,0,VBM PORTION,596,364
CITY OF ARTESIA,N,7390,TOTAL,1149,652
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,377
CITY OF BELL GARDENS,N,0,VBM PORTION,316,269
CITY OF BELL GARDENS,N,12887,TOTAL,855,646
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1233
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1166
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2399
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1563
CITY OF CERRITOS,N,0,VBM PORTION,3286,1869
CITY OF CERRITOS,N,31594,TOTAL,6062,3432
CITY OF COMMERCE,N,6256,POLLING PLACE,444,284
CITY OF COMMERCE,N,0,VBM PORTION,247,180
CITY OF COMMERCE,N,6256,TOTAL,686,464
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,3557
CITY OF DOWNEY,N,0,VBM PORTION,3452,2084
CITY OF DOWNEY,N,54713,TOTAL,9292,5641
CITY OF MONTEBELLO,N,25292,POLLING PLACE,1848,1258
CITY OF MONTEBELLO,N,0,VBM PORTION,1364,941
CITY OF MONTEBELLO,N,25292,TOTAL,3208,2199
CITY OF NORWALK,N,18238,POLLING PLACE,980,618
CITY OF NORWALK,N,0,VBM PORTION,1010,650
CITY OF NORWALK,N,18238,TOTAL,1988,1268
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1473
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,1206
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2679
UNINCORPORATED,N,1353,POLLING PLACE,63,48
UNINCORPORATED,N,0,VBM PORTION,120,82
UNINCORPORATED,N,1353,TOTAL,177,130
