LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1791
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1549
CITY OF ALHAMBRA,N,37025,TOTAL,5368,3340
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1094
CITY OF ARCADIA,N,0,VBM PORTION,3054,1309
CITY OF ARCADIA,N,29165,TOTAL,5433,2403
CITY OF AZUSA,N,18442,POLLING PLACE,1308,852
CITY OF AZUSA,N,0,VBM PORTION,1201,760
CITY OF AZUSA,N,18442,TOTAL,2508,1612
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,1245
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,1002
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,2247
CITY OF COVINA,N,26090,POLLING PLACE,2040,1136
CITY OF COVINA,N,0,VBM PORTION,1877,1082
CITY OF COVINA,N,26090,TOTAL,3913,2218
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1598
CITY OF EL MONTE,N,0,VBM PORTION,1885,1313
CITY OF EL MONTE,N,36036,TOTAL,4201,2911
CITY OF INDUSTRY,N,96,POLLING PLACE,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,34,12
CITY OF INDUSTRY,N,96,TOTAL,31,12
CITY OF IRWINDALE,N,939,POLLING PLACE,75,42
CITY OF IRWINDALE,N,0,VBM PORTION,61,38
CITY OF IRWINDALE,N,939,TOTAL,135,80
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,624
CITY OF LA PUENTE,N,0,VBM PORTION,740,523
CITY OF LA PUENTE,N,15802,TOTAL,1699,1147
CITY OF MONROVIA,N,4,POLLING PLACE,0,0
CITY OF MONROVIA,N,0,VBM PORTION,2,1
CITY OF MONROVIA,N,4,TOTAL,1,1
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1450
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1586
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,3036
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,740
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,828
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1568
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,758
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,745
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1503
CITY OF SIERRA MADRE,N,0,POLLING PLACE,0,0
CITY OF SIERRA MADRE,N,0,VBM PORTION,2,1
CITY OF SIERRA MADRE,N,0,TOTAL,1,1
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,286
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,262
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,548
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,816
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,834
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1650
CITY OF WEST COVINA,N,39523,POLLING PLACE,2814,1767
CITY OF WEST COVINA,N,0,VBM PORTION,2795,1806
CITY OF WEST COVINA,N,39523,TOTAL,5608,3573
UNINCORPORATED,N,90975,POLLING PLACE,6544,4063
UNINCORPORATED,N,0,VBM PORTION,5699,3454
UNINCORPORATED,N,90975,TOTAL,12230,7517
