LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,883,234
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,862,196
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1745,430
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1541,534
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1423,509
CITY OF ALHAMBRA,N,37025,TOTAL,5368,2964,1043
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1363,367
CITY OF ARCADIA,N,0,VBM PORTION,3054,1591,484
CITY OF ARCADIA,N,29165,TOTAL,5433,2954,851
CITY OF ARTESIA,N,7390,POLLING PLACE,555,301,88
CITY OF ARTESIA,N,0,VBM PORTION,596,326,88
CITY OF ARTESIA,N,7390,TOTAL,1149,627,176
CITY OF AVALON,N,1730,POLLING PLACE,190,107,20
CITY OF AVALON,N,0,VBM PORTION,184,96,26
CITY OF AVALON,N,1730,TOTAL,374,203,46
CITY OF AZUSA,N,18442,POLLING PLACE,1308,780,210
CITY OF AZUSA,N,0,VBM PORTION,1201,785,141
CITY OF AZUSA,N,18442,TOTAL,2508,1565,351
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,1040,310
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,783,315
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1823,625
CITY OF BELL,N,11175,POLLING PLACE,618,355,130
CITY OF BELL,N,0,VBM PORTION,349,211,64
CITY OF BELL,N,11175,TOTAL,966,566,194
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,272,144
CITY OF BELL GARDENS,N,0,VBM PORTION,316,188,82
CITY OF BELL GARDENS,N,12887,TOTAL,855,460,226
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1254,385
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1127,328
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2381,713
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,978,342
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1192,361
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2170,703
CITY OF BRADBURY,N,599,POLLING PLACE,66,45,10
CITY OF BRADBURY,N,0,VBM PORTION,67,41,6
CITY OF BRADBURY,N,599,TOTAL,133,86,16
CITY OF BURBANK,N,60155,POLLING PLACE,4654,2766,723
CITY OF BURBANK,N,0,VBM PORTION,4858,2787,659
CITY OF BURBANK,N,60155,TOTAL,9510,5553,1382
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,762,224
CITY OF CALABASAS,N,0,VBM PORTION,1873,1063,246
CITY OF CALABASAS,N,14914,TOTAL,3327,1825,470
CITY OF CARSON,N,52903,POLLING PLACE,5087,3148,816
CITY OF CARSON,N,0,VBM PORTION,4089,2494,706
CITY OF CARSON,N,52903,TOTAL,9175,5642,1522
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1577,439
CITY OF CERRITOS,N,0,VBM PORTION,3286,1681,515
CITY OF CERRITOS,N,31594,TOTAL,6062,3258,954
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1714,465
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1508,387
CITY OF CLAREMONT,N,22235,TOTAL,5533,3222,852
CITY OF COMMERCE,N,6256,POLLING PLACE,444,235,100
CITY OF COMMERCE,N,0,VBM PORTION,247,156,43
CITY OF COMMERCE,N,6256,TOTAL,686,391,143
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1913,468
CITY OF COMPTON,N,0,VBM PORTION,1873,1118,356
