LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,855,267
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,832,192
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1687,459
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1562,556
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1437,496
CITY OF ALHAMBRA,N,37025,TOTAL,5368,2999,1052
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1428,342
CITY OF ARCADIA,N,0,VBM PORTION,3054,1664,443
CITY OF ARCADIA,N,29165,TOTAL,5433,3092,785
CITY OF ARTESIA,N,7390,POLLING PLACE,555,249,160
CITY OF ARTESIA,N,0,VBM PORTION,596,287,149
CITY OF ARTESIA,N,7390,TOTAL,1149,536,309
CITY OF AVALON,N,1730,POLLING PLACE,190,107,31
CITY OF AVALON,N,0,VBM PORTION,184,106,18
CITY OF AVALON,N,1730,TOTAL,374,213,49
CITY OF AZUSA,N,18442,POLLING PLACE,1308,776,228
CITY OF AZUSA,N,0,VBM PORTION,1201,764,180
CITY OF AZUSA,N,18442,TOTAL,2508,1540,408
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,1023,378
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,815,306
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1838,684
CITY OF BELL,N,11175,POLLING PLACE,618,371,133
CITY OF BELL,N,0,VBM PORTION,349,209,69
CITY OF BELL,N,11175,TOTAL,966,580,202
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,274,169
CITY OF BELL GARDENS,N,0,VBM PORTION,316,181,90
CITY OF BELL GARDENS,N,12887,TOTAL,855,455,259
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1165,550
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1044,456
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2209,1006
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,983,351
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1198,331
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2181,682
CITY OF BRADBURY,N,599,POLLING PLACE,66,45,8
CITY OF BRADBURY,N,0,VBM PORTION,67,43,5
CITY OF BRADBURY,N,599,TOTAL,133,88,13
CITY OF BURBANK,N,60155,POLLING PLACE,4654,2854,742
CITY OF BURBANK,N,0,VBM PORTION,4858,2886,675
CITY OF BURBANK,N,60155,TOTAL,9510,5740,1417
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,774,226
CITY OF CALABASAS,N,0,VBM PORTION,1873,1011,267
CITY OF CALABASAS,N,14914,TOTAL,3327,1785,493
CITY OF CARSON,N,52903,POLLING PLACE,5087,2670,1377
CITY OF CARSON,N,0,VBM PORTION,4089,2236,995
CITY OF CARSON,N,52903,TOTAL,9175,4906,2372
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1567,548
CITY OF CERRITOS,N,0,VBM PORTION,3286,1668,652
CITY OF CERRITOS,N,31594,TOTAL,6062,3235,1200
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1790,432
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1552,353
CITY OF CLAREMONT,N,22235,TOTAL,5533,3342,785
CITY OF COMMERCE,N,6256,POLLING PLACE,444,212,138
CITY OF COMMERCE,N,0,VBM PORTION,247,139,67
CITY OF COMMERCE,N,6256,TOTAL,686,351,205
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1514,785
CITY OF COMPTON,N,0,VBM PORTION,1873,971,483
CITY OF COMPTON,N,43063,TOTAL,4894,2485,1268
CITY OF COVINA,N,26090,POLLING PLACE,2040,1353,319
CITY OF COVINA,N,0,VBM PORTION,1877,1204,241
CITY OF COVINA,N,26090,TOTAL,3913,2557,560
CITY OF CUDAHY,N,6697,POLLING PLACE,376,221,87
CITY OF CUDAHY,N,0,VBM PORTION,164,99,39
