LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,586,113,475
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,535,126,430
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1121,239,905
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,986,283,872
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,878,256,856
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1864,539,1728
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,971,172,659
CITY OF ARCADIA,N,0,VBM PORTION,3054,1105,268,771
CITY OF ARCADIA,N,29165,TOTAL,5433,2076,440,1430
CITY OF ARTESIA,N,7390,POLLING PLACE,555,201,56,153
CITY OF ARTESIA,N,0,VBM PORTION,596,204,45,195
CITY OF ARTESIA,N,7390,TOTAL,1149,405,101,348
CITY OF AVALON,N,1730,POLLING PLACE,190,76,14,48
CITY OF AVALON,N,0,VBM PORTION,184,66,11,46
CITY OF AVALON,N,1730,TOTAL,374,142,25,94
CITY OF AZUSA,N,18442,POLLING PLACE,1308,514,123,376
CITY OF AZUSA,N,0,VBM PORTION,1201,541,94,310
CITY OF AZUSA,N,18442,TOTAL,2508,1055,217,686
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,686,152,546
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,491,126,502
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1177,278,1048
CITY OF BELL,N,11175,POLLING PLACE,618,211,64,228
CITY OF BELL,N,0,VBM PORTION,349,139,52,94
CITY OF BELL,N,11175,TOTAL,966,350,116,322
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,192,59,194
CITY OF BELL GARDENS,N,0,VBM PORTION,316,118,37,118
CITY OF BELL GARDENS,N,12887,TOTAL,855,310,96,312
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,993,212,525
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,794,188,547
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1787,400,1072
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,476,174,774
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,565,195,862
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1041,369,1636
CITY OF BRADBURY,N,599,POLLING PLACE,66,33,6,17
CITY OF BRADBURY,N,0,VBM PORTION,67,40,2,10
CITY OF BRADBURY,N,599,TOTAL,133,73,8,27
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1783,466,1365
CITY OF BURBANK,N,0,VBM PORTION,4858,1765,449,1344
CITY OF BURBANK,N,60155,TOTAL,9510,3548,915,2709
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,496,102,451
CITY OF CALABASAS,N,0,VBM PORTION,1873,678,111,567
CITY OF CALABASAS,N,14914,TOTAL,3327,1174,213,1018
CITY OF CARSON,N,52903,POLLING PLACE,5087,1850,471,1803
CITY OF CARSON,N,0,VBM PORTION,4089,1263,470,1571
CITY OF CARSON,N,52903,TOTAL,9175,3113,941,3374
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1148,240,732
CITY OF CERRITOS,N,0,VBM PORTION,3286,1173,303,868
CITY OF CERRITOS,N,31594,TOTAL,6062,2321,543,1600
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,989,190,1088
CITY OF CLAREMONT,N,0,VBM PORTION,2652,832,167,943
CITY OF CLAREMONT,N,22235,TOTAL,5533,1821,357,2031
CITY OF COMMERCE,N,6256,POLLING PLACE,444,166,36,138
CITY OF COMMERCE,N,0,VBM PORTION,247,98,21,85
