LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,880
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,853
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1733
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,1728
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,1578
CITY OF ALHAMBRA,N,37025,TOTAL,5368,3306
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,1358
CITY OF ARCADIA,N,0,VBM PORTION,3054,1621
CITY OF ARCADIA,N,29165,TOTAL,5433,2979
CITY OF ARTESIA,N,7390,POLLING PLACE,555,334
CITY OF ARTESIA,N,0,VBM PORTION,596,380
CITY OF ARTESIA,N,7390,TOTAL,1149,714
CITY OF AVALON,N,1730,POLLING PLACE,190,109
CITY OF AVALON,N,0,VBM PORTION,184,92
CITY OF AVALON,N,1730,TOTAL,374,201
CITY OF AZUSA,N,18442,POLLING PLACE,1308,802
CITY OF AZUSA,N,0,VBM PORTION,1201,774
CITY OF AZUSA,N,18442,TOTAL,2508,1576
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,1178
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,988
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,2166
CITY OF BELL,N,11175,POLLING PLACE,618,410
CITY OF BELL,N,0,VBM PORTION,349,247
CITY OF BELL,N,11175,TOTAL,966,657
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,364
CITY OF BELL GARDENS,N,0,VBM PORTION,316,242
CITY OF BELL GARDENS,N,12887,TOTAL,855,606
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,1344
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,1248
CITY OF BELLFLOWER,N,34364,TOTAL,4019,2592
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,993
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1162
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,2155
CITY OF BRADBURY,N,599,POLLING PLACE,66,47
CITY OF BRADBURY,N,0,VBM PORTION,67,44
CITY OF BRADBURY,N,599,TOTAL,133,91
CITY OF BURBANK,N,60155,POLLING PLACE,4654,2845
CITY OF BURBANK,N,0,VBM PORTION,4858,2801
CITY OF BURBANK,N,60155,TOTAL,9510,5646
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,734
CITY OF CALABASAS,N,0,VBM PORTION,1873,998
CITY OF CALABASAS,N,14914,TOTAL,3327,1732
CITY OF CARSON,N,52903,POLLING PLACE,5087,3279
CITY OF CARSON,N,0,VBM PORTION,4089,2696
CITY OF CARSON,N,52903,TOTAL,9175,5975
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1725
CITY OF CERRITOS,N,0,VBM PORTION,3286,2081
CITY OF CERRITOS,N,31594,TOTAL,6062,3806
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1729
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1546
CITY OF CLAREMONT,N,22235,TOTAL,5533,3275
CITY OF COMMERCE,N,6256,POLLING PLACE,444,282
CITY OF COMMERCE,N,0,VBM PORTION,247,177
CITY OF COMMERCE,N,6256,TOTAL,686,459
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1834
CITY OF COMPTON,N,0,VBM PORTION,1873,1223
CITY OF COMPTON,N,43063,TOTAL,4894,3057
CITY OF COVINA,N,26090,POLLING PLACE,2040,1293
CITY OF COVINA,N,0,VBM PORTION,1877,1145
CITY OF COVINA,N,26090,TOTAL,3913,2438
CITY OF CUDAHY,N,6697,POLLING PLACE,376,252
CITY OF CUDAHY,N,0,VBM PORTION,164,125
CITY OF CUDAHY,N,6697,TOTAL,539,377
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1962
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1708
CITY OF CULVER CITY,N,26286,TOTAL,6708,3670
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1671
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1875
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,3546
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,3718
CITY OF DOWNEY,N,0,VBM PORTION,3452,2195
CITY OF DOWNEY,N,54713,TOTAL,9292,5913
CITY OF DUARTE,N,11742,POLLING PLACE,960,592
CITY OF DUARTE,N,0,VBM PORTION,1099,688
CITY OF DUARTE,N,11742,TOTAL,2059,1280
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1530
CITY OF EL MONTE,N,0,VBM PORTION,1885,1316
CITY OF EL MONTE,N,36036,TOTAL,4201,2846
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,824
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,749
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1573
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1762
CITY OF GARDENA,N,0,VBM PORTION,2597,1720
CITY OF GARDENA,N,30000,TOTAL,5358,3482
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,4925
CITY OF GLENDALE,N,0,VBM PORTION,12284,5440
CITY OF GLENDALE,N,97282,TOTAL,21689,10365
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1792
CITY OF GLENDORA,N,0,VBM PORTION,2920,1720
CITY OF GLENDORA,N,31341,TOTAL,5784,3512
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,196
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,237
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,433
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1566
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1372
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2938
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,941
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,850
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1791
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,84
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,70
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,154
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,665
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,415
