LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD S ROGERS,BOB OLMSTED,JIM MCDONNELL,LOU VINCE,PAUL TANAKA,JAMES HELLMOLD,PATRICK L GOMEZ
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,48,142,768,88,201,85,19
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,52,116,652,107,148,104,17
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,100,258,1420,195,349,189,36
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,95,249,1156,148,401,161,244
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,99,220,881,145,424,191,157
CITY OF ALHAMBRA,N,37025,TOTAL,5368,194,469,2037,293,825,352,401
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,63,282,1150,83,352,117,47
CITY OF ARCADIA,N,0,VBM PORTION,3054,77,301,1179,134,512,160,49
CITY OF ARCADIA,N,29165,TOTAL,5433,140,583,2329,217,864,277,96
CITY OF ARTESIA,N,7390,POLLING PLACE,555,27,33,208,21,68,41,60
CITY OF ARTESIA,N,0,VBM PORTION,596,47,42,207,38,82,32,40
CITY OF ARTESIA,N,7390,TOTAL,1149,74,75,415,59,150,73,100
CITY OF AVALON,N,1730,POLLING PLACE,190,15,17,91,3,14,5,14
CITY OF AVALON,N,0,VBM PORTION,184,12,30,70,9,12,4,1
CITY OF AVALON,N,1730,TOTAL,374,27,47,161,12,26,9,15
CITY OF AZUSA,N,18442,POLLING PLACE,1308,63,159,429,53,195,68,153
CITY OF AZUSA,N,0,VBM PORTION,1201,55,145,445,51,137,69,104
CITY OF AZUSA,N,18442,TOTAL,2508,118,304,874,104,332,137,257
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,125,191,463,93,188,134,319
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,80,143,390,78,149,110,197
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,205,334,853,171,337,244,516
CITY OF BELL,N,11175,POLLING PLACE,618,49,46,144,23,42,42,181
CITY OF BELL,N,0,VBM PORTION,349,20,27,113,17,30,23,75
CITY OF BELL,N,11175,TOTAL,966,69,73,257,40,72,65,256
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,32,32,121,35,66,42,141
CITY OF BELL GARDENS,N,0,VBM PORTION,316,15,18,84,45,28,28,59
CITY OF BELL GARDENS,N,12887,TOTAL,855,47,50,205,80,94,70,200
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,153,153,959,106,280,118,133
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,128,130,788,134,219,126,104
CITY OF BELLFLOWER,N,34364,TOTAL,4019,281,283,1747,240,499,244,237
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,49,127,927,123,204,95,39
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,53,146,1071,129,210,128,25
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,102,273,1998,252,414,223,64
CITY OF BRADBURY,N,599,POLLING PLACE,66,4,5,43,0,9,1,0
CITY OF BRADBURY,N,0,VBM PORTION,67,3,9,27,0,5,8,3
CITY OF BRADBURY,N,599,TOTAL,133,7,14,70,0,14,9,3
CITY OF BURBANK,N,60155,POLLING PLACE,4654,189,505,2084,220,582,317,175
CITY OF BURBANK,N,0,VBM PORTION,4858,198,449,1794,308,608,454,138
CITY OF BURBANK,N,60155,TOTAL,9510,387,954,3878,528,1190,771,313
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,77,93,647,45,184,111,38
CITY OF CALABASAS,N,0,VBM PORTION,1873,69,151,819,79,154,137,49
CITY OF CALABASAS,N,14914,TOTAL,3327,146,244,1466,124,338,248,87
CITY OF CARSON,N,52903,POLLING PLACE,5087,839,306,1937,184,670,188,342
CITY OF CARSON,N,0,VBM PORTION,4089,693,268,1302,170,574,244,195
CITY OF CARSON,N,52903,TOTAL,9175,1532,574,3239,354,1244,432,537
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,206,160,1331,129,423,129,81
CITY OF CERRITOS,N,0,VBM PORTION,3286,188,165,1278,184,606,154,64
CITY OF CERRITOS,N,31594,TOTAL,6062,394,325,2609,313,1029,283,145
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,62,535,1313,87,280,170,56
CITY OF CLAREMONT,N,0,VBM PORTION,2652,76,410,1087,129,217,203,64
CITY OF CLAREMONT,N,22235,TOTAL,5533,138,945,2400,216,497,373,120
CITY OF COMMERCE,N,6256,POLLING PLACE,444,30,27,124,31,53,54,72
CITY OF COMMERCE,N,0,VBM PORTION,247,11,15,64,22,24,24,57
CITY OF COMMERCE,N,6256,TOTAL,686,41,42,188,53,77,78,129
CITY OF COMPTON,N,43063,POLLING PLACE,3022,372,166,1137,113,294,154,262
CITY OF COMPTON,N,0,VBM PORTION,1873,212,121,573,88,205,150,153
CITY OF COMPTON,N,43063,TOTAL,4894,584,287,1710,201,499,304,415
CITY OF COVINA,N,26090,POLLING PLACE,2040,103,283,858,68,288,153,113
CITY OF COVINA,N,0,VBM PORTION,1877,81,234,685,65,261,130,105
CITY OF COVINA,N,26090,TOTAL,3913,184,517,1543,133,549,283,218
CITY OF CUDAHY,N,6697,POLLING PLACE,376,33,16,88,15,28,39,99
CITY OF CUDAHY,N,0,VBM PORTION,164,20,9,41,5,27,16,31
CITY OF CUDAHY,N,6697,TOTAL,539,53,25,129,20,55,55,130
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,246,298,1472,139,423,183,91
CITY OF CULVER CITY,N,0,VBM PORTION,3120,176,199,1184,145,353,187,82
CITY OF CULVER CITY,N,26286,TOTAL,6708,422,497,2656,284,776,370,173
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,127,357,1011,78,486,183,106
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,130,335,1034,131,559,211,110
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,257,692,2045,209,1045,394,216
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,246,426,2538,291,805,329,549
CITY OF DOWNEY,N,0,VBM PORTION,3452,105,229,1532,203,391,189,252
CITY OF DOWNEY,N,54713,TOTAL,9292,351,655,4070,494,1196,518,801
CITY OF DUARTE,N,11742,POLLING PLACE,960,47,128,341,47,144,74,76
CITY OF DUARTE,N,0,VBM PORTION,1099,78,125,356,59,162,84,60
CITY OF DUARTE,N,11742,TOTAL,2059,125,253,697,106,306,158,136
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,115,192,789,110,272,170,399
CITY OF EL MONTE,N,0,VBM PORTION,1885,90,167,618,159,223,138,193
CITY OF EL MONTE,N,36036,TOTAL,4201,205,359,1407,269,495,308,592
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,59,114,669,44,212,115,31
