LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LELAND YEE,DEREK CRESSMAN,DAVID CURTIS,ALEX PADILLA,PETE PETERSON,JEFFREY H DROBMAN,ROY ALLMOND,DAN SCHNUR
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,111,124,49,770,1633,92,266,164
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,205,126,66,840,1542,111,268,425
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,316,250,115,1610,3175,203,534,589
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,1044,986,433,6003,8556,731,2346,2093
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,1717,1151,525,6246,9776,962,2403,2982
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,2761,2137,958,12249,18332,1693,4749,5075
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,26,31,5,187,297,15,30,71
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,35,20,13,150,309,30,25,80
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,61,51,18,337,606,45,55,151
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,2994,2589,666,10240,8858,661,1116,1562
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,4050,1835,640,9363,9305,915,1114,2312
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,7044,4424,1306,19603,18163,1576,2230,3874
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,1731,3281,1067,13028,8060,823,1106,1743
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,2492,2251,993,11742,8519,1155,1097,2162
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,4223,5532,2060,24770,16579,1978,2203,3905
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,1009,1301,496,9005,2656,603,881,669
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,1212,1090,379,7207,2754,685,813,762
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,2221,2391,875,16212,5410,1288,1694,1431
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,2144,3543,793,11483,9266,1524,1816,2577
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,2810,3079,728,11124,8746,1799,1699,3161
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,4954,6622,1521,22607,18012,3323,3515,5738
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,1716,1330,481,8881,6469,479,1146,1090
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,2135,957,383,7042,5448,615,959,1555
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,3851,2287,864,15923,11917,1094,2105,2645
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,3182,6749,1710,15771,15993,1578,1692,4242
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,4046,4698,1173,13973,16259,1628,1819,5059
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,7228,11447,2883,29744,32252,3206,3511,9301
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,1480,1799,636,10532,2151,722,419,603
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,2195,1085,448,6628,2041,619,458,692
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,3675,2884,1084,17160,4192,1341,877,1295
