LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,KERMIT F FRANKLIN,TOM LACKEY,SUZETTE M MARTINEZ,JD KENNEDY
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,1015,129,1310,323,664
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,1206,168,1578,283,473
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,2221,297,2888,606,1137
25TH US CONGRESSIONAL,N,150080,POLLING PLACE,11842,4042,545,4275,1060,1460
25TH US CONGRESSIONAL,N,0,VBM PORTION,12731,4095,662,4912,1094,1160
25TH US CONGRESSIONAL,N,150080,TOTAL,24568,8137,1207,9187,2154,2620
27TH US CONGRESSIONAL,N,262,POLLING PLACE,0,0,0,0,0,0
27TH US CONGRESSIONAL,N,0,VBM PORTION,82,19,2,40,10,6
27TH US CONGRESSIONAL,N,262,TOTAL,81,19,2,40,10,6
28TH US CONGRESSIONAL,N,0,POLLING PLACE,0,0,0,0,0,0
28TH US CONGRESSIONAL,N,0,VBM PORTION,0,0,0,0,0,0
28TH US CONGRESSIONAL,N,0,TOTAL,0,0,0,0,0,0
