LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RAUL BOCANEGRA,KEVIN J SUSCAVAGE,PATTY LOPEZ
25TH US CONGRESSIONAL,N,6,POLLING PLACE,0,0,0,0
25TH US CONGRESSIONAL,N,0,VBM PORTION,4,0,0,0
25TH US CONGRESSIONAL,N,6,TOTAL,4,0,0,0
28TH US CONGRESSIONAL,N,32261,POLLING PLACE,2967,1234,420,510
28TH US CONGRESSIONAL,N,0,VBM PORTION,2911,1057,313,485
28TH US CONGRESSIONAL,N,32261,TOTAL,5878,2291,733,995
29TH US CONGRESSIONAL,N,161635,POLLING PLACE,10448,5781,1063,2065
29TH US CONGRESSIONAL,N,0,VBM PORTION,8946,4619,947,1736
29TH US CONGRESSIONAL,N,161635,TOTAL,19388,10400,2010,3801
30TH US CONGRESSIONAL,N,4263,POLLING PLACE,463,209,58,69
30TH US CONGRESSIONAL,N,0,VBM PORTION,475,169,75,75
30TH US CONGRESSIONAL,N,4263,TOTAL,937,378,133,144
