LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY RENDON,ADAM J MILLER
38TH US CONGRESSIONAL,N,41152,POLLING PLACE,3501,1583,1583
38TH US CONGRESSIONAL,N,0,VBM PORTION,3301,1498,1422
38TH US CONGRESSIONAL,N,41152,TOTAL,6799,3081,3005
40TH US CONGRESSIONAL,N,46195,POLLING PLACE,2374,1600,389
40TH US CONGRESSIONAL,N,0,VBM PORTION,1415,946,314
40TH US CONGRESSIONAL,N,46195,TOTAL,3787,2546,703
44TH US CONGRESSIONAL,N,84206,POLLING PLACE,4336,2783,814
44TH US CONGRESSIONAL,N,0,VBM PORTION,3175,2174,688
44TH US CONGRESSIONAL,N,84206,TOTAL,7510,4957,1502
47TH US CONGRESSIONAL,N,17667,POLLING PLACE,1675,738,743
47TH US CONGRESSIONAL,N,0,VBM PORTION,1567,767,644
47TH US CONGRESSIONAL,N,17667,TOTAL,3241,1505,1387
