LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETSY BUTLER,PATRIC M VERRONE,SANDRA FLUKE,VITO IMBASCIANI,AMY HOWORTH,BARBI S APPELQUIST,BEN ALLEN,SETH STODDER
28TH US CONGRESSIONAL,N,83232,POLLING PLACE,6932,1275,351,2015,280,655,79,967,500
28TH US CONGRESSIONAL,N,0,VBM PORTION,6556,1160,248,1443,306,534,98,1060,689
28TH US CONGRESSIONAL,N,83232,TOTAL,13486,2435,599,3458,586,1189,177,2027,1189
33RD US CONGRESSIONAL,N,395664,POLLING PLACE,51601,7073,1352,8205,1671,7581,586,9849,7633
33RD US CONGRESSIONAL,N,0,VBM PORTION,49728,6012,875,6553,1974,6721,543,10287,7811
33RD US CONGRESSIONAL,N,395664,TOTAL,101314,13085,2227,14758,3645,14302,1129,20136,15444
37TH US CONGRESSIONAL,N,61423,POLLING PLACE,5974,1110,239,1524,205,520,68,958,547
37TH US CONGRESSIONAL,N,0,VBM PORTION,5886,965,140,1232,194,532,91,1082,632
37TH US CONGRESSIONAL,N,61423,TOTAL,11858,2075,379,2756,399,1052,159,2040,1179
43RD US CONGRESSIONAL,N,53164,POLLING PLACE,6596,900,154,1004,292,963,78,922,1395
43RD US CONGRESSIONAL,N,0,VBM PORTION,5698,780,77,734,247,838,78,812,1138
43RD US CONGRESSIONAL,N,53164,TOTAL,12291,1680,231,1738,539,1801,156,1734,2533
47TH US CONGRESSIONAL,N,1891,POLLING PLACE,206,14,6,21,9,39,8,31,36
47TH US CONGRESSIONAL,N,0,VBM PORTION,193,12,4,28,11,28,1,19,38
47TH US CONGRESSIONAL,N,1891,TOTAL,399,26,10,49,20,67,9,50,74
