LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLY J MITCHELL,ISIDRO ARMENTA
33RD US CONGRESSIONAL,N,0,POLLING PLACE,0,0,0
33RD US CONGRESSIONAL,N,0,VBM PORTION,0,0,0
33RD US CONGRESSIONAL,N,0,TOTAL,0,0,0
34TH US CONGRESSIONAL,N,19118,POLLING PLACE,1383,741,298
34TH US CONGRESSIONAL,N,0,VBM PORTION,1355,750,220
34TH US CONGRESSIONAL,N,19118,TOTAL,2738,1491,518
37TH US CONGRESSIONAL,N,322059,POLLING PLACE,29949,21503,3511
37TH US CONGRESSIONAL,N,0,VBM PORTION,25345,17933,2428
37TH US CONGRESSIONAL,N,322059,TOTAL,55277,39436,5939
40TH US CONGRESSIONAL,N,35212,POLLING PLACE,1569,795,471
40TH US CONGRESSIONAL,N,0,VBM PORTION,1033,638,243
40TH US CONGRESSIONAL,N,35212,TOTAL,2601,1433,714
43RD US CONGRESSIONAL,N,73158,POLLING PLACE,5149,3187,673
43RD US CONGRESSIONAL,N,0,VBM PORTION,3536,2528,410
43RD US CONGRESSIONAL,N,73158,TOTAL,8683,5715,1083
44TH US CONGRESSIONAL,N,3303,POLLING PLACE,207,122,30
44TH US CONGRESSIONAL,N,0,VBM PORTION,120,83,17
44TH US CONGRESSIONAL,N,3303,TOTAL,327,205,47
