LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,SALLY M HAVICE,TONY MENDOZA,CARLOS R ARVIZU,IRELLA PEREZ
32ND US CONGRESSIONAL,N,0,POLLING PLACE,0,0,0,0,0,0
32ND US CONGRESSIONAL,N,0,VBM PORTION,0,0,0,0,0,0
32ND US CONGRESSIONAL,N,0,TOTAL,0,0,0,0,0,0
38TH US CONGRESSIONAL,N,326727,POLLING PLACE,24626,9158,2507,8613,426,2312
38TH US CONGRESSIONAL,N,0,VBM PORTION,22974,8809,2402,6626,349,2341
38TH US CONGRESSIONAL,N,326727,TOTAL,47584,17967,4909,15239,775,4653
39TH US CONGRESSIONAL,N,33926,POLLING PLACE,2837,1277,235,693,59,335
39TH US CONGRESSIONAL,N,0,VBM PORTION,3342,1651,239,579,53,358
39TH US CONGRESSIONAL,N,33926,TOTAL,6178,2928,474,1272,112,693
40TH US CONGRESSIONAL,N,77155,POLLING PLACE,7262,3441,862,1726,187,569
40TH US CONGRESSIONAL,N,0,VBM PORTION,4595,2063,582,981,114,428
40TH US CONGRESSIONAL,N,77155,TOTAL,11855,5504,1444,2707,301,997
47TH US CONGRESSIONAL,N,5721,POLLING PLACE,622,304,74,139,14,35
47TH US CONGRESSIONAL,N,0,VBM PORTION,533,250,54,113,7,62
47TH US CONGRESSIONAL,N,5721,TOTAL,1155,554,128,252,21,97
