LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE RUNNER,CHRIS PARKER
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2136,873
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2331,1085
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4467,1958
25TH US CONGRESSIONAL,N,290836,POLLING PLACE,24120,13731,7130
25TH US CONGRESSIONAL,N,0,VBM PORTION,28300,16388,8493
25TH US CONGRESSIONAL,N,290836,TOTAL,52413,30119,15623
27TH US CONGRESSIONAL,N,647,POLLING PLACE,0,0,0
27TH US CONGRESSIONAL,N,0,VBM PORTION,170,83,45
27TH US CONGRESSIONAL,N,647,TOTAL,169,83,45
28TH US CONGRESSIONAL,N,588,POLLING PLACE,74,25,27
28TH US CONGRESSIONAL,N,0,VBM PORTION,64,19,24
28TH US CONGRESSIONAL,N,588,TOTAL,138,44,51
29TH US CONGRESSIONAL,N,175846,POLLING PLACE,11661,3005,4831
29TH US CONGRESSIONAL,N,0,VBM PORTION,10542,3136,4432
29TH US CONGRESSIONAL,N,175846,TOTAL,22199,6141,9263
30TH US CONGRESSIONAL,N,76851,POLLING PLACE,6828,2202,2268
30TH US CONGRESSIONAL,N,0,VBM PORTION,6581,2393,2267
30TH US CONGRESSIONAL,N,76851,TOTAL,13405,4595,4535
32ND US CONGRESSIONAL,N,0,POLLING PLACE,0,0,0
32ND US CONGRESSIONAL,N,0,VBM PORTION,0,0,0
32ND US CONGRESSIONAL,N,0,TOTAL,0,0,0
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,920,1410
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1023,1389
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,1943,2799
