LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,1989,856
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2243,901
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4232,1757
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,12449,6717
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,14993,7052
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,27442,13769
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,297,226
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,322,207
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,619,433
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,11754,12324
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,12983,11624
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,24737,23948
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,11259,14137
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,12153,12415
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,23412,26552
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,6459,7834
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,6308,6534
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,12767,14368
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,14264,13384
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,14883,12485
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,29147,25869
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,10376,8693
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,9309,7363
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,19685,16056
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,18907,22106
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,20098,18770
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,39005,40876
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,5271,10510
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,4776,7225
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,10047,17735
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1369,1510
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1431,1244
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,2800,2754
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,12706,13921
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,10056,11922
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,22762,25843
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,11124,9715
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,10272,8023
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,21396,17738
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,3409,2661
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,4240,3006
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,7649,5667
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,5577,7360
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,3656,4038
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,9233,11398
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,13866,9742
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,10940,8171
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,24806,17913
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,9020,7939
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,6410,6155
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,15430,14094
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,9682,9454
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,10129,8702
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,19811,18156
