LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CAROL ROSE,CHARLES M CALDERON
23RD US CONGRESSIONAL,N,40752,POLLING PLACE,3565,2015,915
23RD US CONGRESSIONAL,N,0,VBM PORTION,4002,2317,895
23RD US CONGRESSIONAL,N,40752,TOTAL,7565,4332,1810
25TH US CONGRESSIONAL,N,295318,POLLING PLACE,24572,13409,6324
25TH US CONGRESSIONAL,N,0,VBM PORTION,28777,16699,5981
25TH US CONGRESSIONAL,N,295318,TOTAL,53342,30108,12305
26TH US CONGRESSIONAL,N,6055,POLLING PLACE,727,272,262
26TH US CONGRESSIONAL,N,0,VBM PORTION,770,331,196
26TH US CONGRESSIONAL,N,6055,TOTAL,1497,603,458
27TH US CONGRESSIONAL,N,350998,POLLING PLACE,31839,14140,10488
27TH US CONGRESSIONAL,N,0,VBM PORTION,34154,16770,8202
27TH US CONGRESSIONAL,N,350998,TOTAL,65981,30910,18690
28TH US CONGRESSIONAL,N,392520,POLLING PLACE,35120,14968,10567
28TH US CONGRESSIONAL,N,0,VBM PORTION,37322,16512,8331
28TH US CONGRESSIONAL,N,392520,TOTAL,72436,31480,18898
29TH US CONGRESSIONAL,N,272793,POLLING PLACE,18181,9128,5605
29TH US CONGRESSIONAL,N,0,VBM PORTION,16529,9160,3987
29TH US CONGRESSIONAL,N,272793,TOTAL,34700,18288,9592
30TH US CONGRESSIONAL,N,398420,POLLING PLACE,36868,17402,10708
30TH US CONGRESSIONAL,N,0,VBM PORTION,38021,19466,8365
30TH US CONGRESSIONAL,N,398420,TOTAL,74877,36868,19073
32ND US CONGRESSIONAL,N,321011,POLLING PLACE,23936,12500,7169
32ND US CONGRESSIONAL,N,0,VBM PORTION,21510,12160,4875
32ND US CONGRESSIONAL,N,321011,TOTAL,45429,24660,12044
33RD US CONGRESSIONAL,N,459294,POLLING PLACE,58934,24562,17123
33RD US CONGRESSIONAL,N,0,VBM PORTION,57307,25003,13325
33RD US CONGRESSIONAL,N,459294,TOTAL,116225,49565,30448
34TH US CONGRESSIONAL,N,256961,POLLING PLACE,20801,8992,7114
34TH US CONGRESSIONAL,N,0,VBM PORTION,16358,7766,4530
34TH US CONGRESSIONAL,N,256961,TOTAL,37152,16758,11644
35TH US CONGRESSIONAL,N,57598,POLLING PLACE,3541,1878,1044
35TH US CONGRESSIONAL,N,0,VBM PORTION,3368,1937,769
35TH US CONGRESSIONAL,N,57598,TOTAL,6909,3815,1813
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,17375,9938
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,15559,6922
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,32934,16860
38TH US CONGRESSIONAL,N,348503,POLLING PLACE,26326,14596,7188
38TH US CONGRESSIONAL,N,0,VBM PORTION,24401,14284,5067
38TH US CONGRESSIONAL,N,348503,TOTAL,50711,28880,12255
39TH US CONGRESSIONAL,N,105568,POLLING PLACE,8106,4192,2126
39TH US CONGRESSIONAL,N,0,VBM PORTION,10085,5459,2099
39TH US CONGRESSIONAL,N,105568,TOTAL,18188,9651,4225
40TH US CONGRESSIONAL,N,244754,POLLING PLACE,16447,8226,5292
40TH US CONGRESSIONAL,N,0,VBM PORTION,9697,5486,2414
40TH US CONGRESSIONAL,N,244754,TOTAL,26136,13712,7706
43RD US CONGRESSIONAL,N,342297,POLLING PLACE,30448,16500,8019
43RD US CONGRESSIONAL,N,0,VBM PORTION,25344,14441,5211
43RD US CONGRESSIONAL,N,342297,TOTAL,55768,30941,13230
44TH US CONGRESSIONAL,N,310049,POLLING PLACE,21294,11754,5980
44TH US CONGRESSIONAL,N,0,VBM PORTION,16058,9435,3559
44TH US CONGRESSIONAL,N,310049,TOTAL,37346,21189,9539
47TH US CONGRESSIONAL,N,236939,POLLING PLACE,26748,12989,7121
47TH US CONGRESSIONAL,N,0,VBM PORTION,25917,14069,5384
47TH US CONGRESSIONAL,N,236939,TOTAL,52663,27058,12505
