LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO
1ST SUPERVISORIAL,N,10926,POLLING PLACE,1140,124,953
1ST SUPERVISORIAL,N,0,VBM PORTION,1061,167,784
1ST SUPERVISORIAL,N,10926,TOTAL,2201,291,1737
2ND SUPERVISORIAL,N,2611,POLLING PLACE,180,21,138
2ND SUPERVISORIAL,N,0,VBM PORTION,122,16,90
2ND SUPERVISORIAL,N,2611,TOTAL,302,37,228
3RD SUPERVISORIAL,N,58305,POLLING PLACE,4891,664,3755
3RD SUPERVISORIAL,N,0,VBM PORTION,4192,724,2968
3RD SUPERVISORIAL,N,58305,TOTAL,9082,1388,6723
5TH SUPERVISORIAL,N,184075,POLLING PLACE,16918,5872,9175
5TH SUPERVISORIAL,N,0,VBM PORTION,20642,6397,10491
5TH SUPERVISORIAL,N,184075,TOTAL,37557,12269,19666
