LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,31660,12021
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,26616,8434
1ST SUPERVISORIAL,N,795106,TOTAL,103746,58276,20455
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,42959,12675
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,32525,10121
2ND SUPERVISORIAL,N,902623,TOTAL,131237,75484,22796
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,49555,18051
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,48109,15125
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,97664,33176
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,60281,16982
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,58431,15438
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,118712,32420
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,56101,14791
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,59403,14836
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,115504,29627
