LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,25602,19426
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,20114,15988
1ST SUPERVISORIAL,N,795106,TOTAL,103746,45716,35414
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,37908,19731
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,26751,17592
2ND SUPERVISORIAL,N,902623,TOTAL,131237,64659,37323
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,37600,33346
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,35221,30886
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,72821,64232
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,52320,28004
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,48072,28107
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,100392,56111
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,47937,25136
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,48210,27982
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,96147,53118
