LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,18225,28350
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,14742,22590
1ST SUPERVISORIAL,N,795106,TOTAL,103746,32967,50940
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,24519,34437
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,20033,25529
2ND SUPERVISORIAL,N,902623,TOTAL,131237,44552,59966
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,30142,40951
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,28867,37931
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,59009,78882
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,37469,44022
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,34427,43670
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,71896,87692
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,33098,40825
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,32970,44399
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,66068,85224
