LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
1ST SUPERVISORIAL,N,795106,POLLING PLACE,57284,18133,10804,15269
1ST SUPERVISORIAL,N,0,VBM PORTION,46486,14885,10080,10056
1ST SUPERVISORIAL,N,795106,TOTAL,103746,33018,20884,25325
2ND SUPERVISORIAL,N,902623,POLLING PLACE,73372,23088,12204,20787
2ND SUPERVISORIAL,N,0,VBM PORTION,57912,16323,11920,14566
2ND SUPERVISORIAL,N,902623,TOTAL,131237,39411,24124,35353
3RD SUPERVISORIAL,N,1020338,POLLING PLACE,94123,17777,18047,32418
3RD SUPERVISORIAL,N,0,VBM PORTION,90734,17997,18643,27221
3RD SUPERVISORIAL,N,1020338,TOTAL,184830,35774,36690,59639
4TH SUPERVISORIAL,N,1059419,POLLING PLACE,104493,23897,23881,30294
4TH SUPERVISORIAL,N,0,VBM PORTION,102019,25613,24699,23888
4TH SUPERVISORIAL,N,1059419,TOTAL,206473,49510,48580,54182
5TH SUPERVISORIAL,N,1045921,POLLING PLACE,94104,21309,23696,26138
5TH SUPERVISORIAL,N,0,VBM PORTION,103732,26073,26521,21525
5TH SUPERVISORIAL,N,1045921,TOTAL,197795,47382,50217,47663
