LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU
36TH STATE ASSEMBLY,N,262,POLLING PLACE,0,0,0
36TH STATE ASSEMBLY,N,0,VBM PORTION,82,55,22
36TH STATE ASSEMBLY,N,262,TOTAL,81,55,22
41ST STATE ASSEMBLY,N,153646,POLLING PLACE,16048,4590,10403
41ST STATE ASSEMBLY,N,0,VBM PORTION,16417,5199,10091
41ST STATE ASSEMBLY,N,153646,TOTAL,32455,9789,20494
43RD STATE ASSEMBLY,N,3,POLLING PLACE,0,0,0
43RD STATE ASSEMBLY,N,0,VBM PORTION,1,0,0
43RD STATE ASSEMBLY,N,3,TOTAL,1,0,0
48TH STATE ASSEMBLY,N,24102,POLLING PLACE,2323,1385,687
48TH STATE ASSEMBLY,N,0,VBM PORTION,2521,1535,790
48TH STATE ASSEMBLY,N,24102,TOTAL,4844,2920,1477
49TH STATE ASSEMBLY,N,172731,POLLING PLACE,13468,4873,7468
49TH STATE ASSEMBLY,N,0,VBM PORTION,15076,5389,8573
49TH STATE ASSEMBLY,N,172731,TOTAL,28543,10262,16041
52ND STATE ASSEMBLY,N,254,POLLING PLACE,0,0,0
52ND STATE ASSEMBLY,N,0,VBM PORTION,57,26,29
52ND STATE ASSEMBLY,N,254,TOTAL,57,26,29
