LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ
41ST STATE ASSEMBLY,N,3378,POLLING PLACE,261,136
41ST STATE ASSEMBLY,N,0,VBM PORTION,339,159
41ST STATE ASSEMBLY,N,3378,TOTAL,600,295
48TH STATE ASSEMBLY,N,170347,POLLING PLACE,11733,7571
48TH STATE ASSEMBLY,N,0,VBM PORTION,9898,6494
48TH STATE ASSEMBLY,N,170347,TOTAL,21626,14065
49TH STATE ASSEMBLY,N,191420,POLLING PLACE,14424,8511
49TH STATE ASSEMBLY,N,0,VBM PORTION,15530,8712
49TH STATE ASSEMBLY,N,191420,TOTAL,29948,17223
57TH STATE ASSEMBLY,N,36998,POLLING PLACE,2264,1531
57TH STATE ASSEMBLY,N,0,VBM PORTION,1776,1261
57TH STATE ASSEMBLY,N,36998,TOTAL,4038,2792
