LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
43RD STATE ASSEMBLY,N,47623,POLLING PLACE,3707,431,729,2203
43RD STATE ASSEMBLY,N,0,VBM PORTION,3269,444,665,1773
43RD STATE ASSEMBLY,N,47623,TOTAL,6975,875,1394,3976
50TH STATE ASSEMBLY,N,1599,POLLING PLACE,86,12,8,60
50TH STATE ASSEMBLY,N,0,VBM PORTION,84,15,17,34
50TH STATE ASSEMBLY,N,1599,TOTAL,170,27,25,94
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,2190,2334,10258
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,1791,1814,6556
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,3981,4148,16814
53RD STATE ASSEMBLY,N,110576,POLLING PLACE,8850,1057,1711,4930
53RD STATE ASSEMBLY,N,0,VBM PORTION,6996,865,2144,3161
53RD STATE ASSEMBLY,N,110576,TOTAL,15841,1922,3855,8091
