LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETSY BUTLER,PATRIC M VERRONE,SANDRA FLUKE,VITO IMBASCIANI,AMY HOWORTH,BARBI S APPELQUIST,BEN ALLEN,SETH STODDER
43RD STATE ASSEMBLY,N,8741,POLLING PLACE,760,90,36,264,22,91,7,97,55
43RD STATE ASSEMBLY,N,0,VBM PORTION,648,78,31,141,26,76,10,80,91
43RD STATE ASSEMBLY,N,8741,TOTAL,1408,168,67,405,48,167,17,177,146
46TH STATE ASSEMBLY,N,6399,POLLING PLACE,690,82,39,214,42,71,8,106,57
46TH STATE ASSEMBLY,N,0,VBM PORTION,710,63,29,168,43,64,7,127,85
46TH STATE ASSEMBLY,N,6399,TOTAL,1399,145,68,382,85,135,15,233,142
50TH STATE ASSEMBLY,N,263597,POLLING PLACE,30284,4960,1183,6581,903,2603,398,6812,2510
50TH STATE ASSEMBLY,N,0,VBM PORTION,27880,4056,723,4801,1090,2151,347,6909,2799
50TH STATE ASSEMBLY,N,263597,TOTAL,58158,9016,1906,11382,1993,4754,745,13721,5309
54TH STATE ASSEMBLY,N,36460,POLLING PLACE,2647,313,61,643,114,206,31,575,246
54TH STATE ASSEMBLY,N,0,VBM PORTION,3097,320,64,587,96,263,40,739,378
54TH STATE ASSEMBLY,N,36460,TOTAL,5744,633,125,1230,210,469,71,1314,624
62ND STATE ASSEMBLY,N,90584,POLLING PLACE,11541,2288,342,2213,411,1237,121,1685,1576
62ND STATE ASSEMBLY,N,0,VBM PORTION,9172,1543,185,1528,375,994,137,1492,1301
62ND STATE ASSEMBLY,N,90584,TOTAL,20706,3831,527,3741,786,2231,258,3177,2877
66TH STATE ASSEMBLY,N,187702,POLLING PLACE,25181,2625,435,2833,956,5511,246,3421,5631
66TH STATE ASSEMBLY,N,0,VBM PORTION,26361,2857,308,2737,1091,5077,269,3894,5616
66TH STATE ASSEMBLY,N,187702,TOTAL,51534,5482,743,5570,2047,10588,515,7315,11247
70TH STATE ASSEMBLY,N,1891,POLLING PLACE,206,14,6,21,9,39,8,31,36
70TH STATE ASSEMBLY,N,0,VBM PORTION,193,12,4,28,11,28,1,19,38
70TH STATE ASSEMBLY,N,1891,TOTAL,399,26,10,49,20,67,9,50,74
