LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLY J MITCHELL,ISIDRO ARMENTA
50TH STATE ASSEMBLY,N,5888,POLLING PLACE,530,365,59
50TH STATE ASSEMBLY,N,0,VBM PORTION,547,359,65
50TH STATE ASSEMBLY,N,5888,TOTAL,1077,724,124
53RD STATE ASSEMBLY,N,21811,POLLING PLACE,1578,836,359
53RD STATE ASSEMBLY,N,0,VBM PORTION,1481,833,246
53RD STATE ASSEMBLY,N,21811,TOTAL,3059,1669,605
54TH STATE ASSEMBLY,N,235905,POLLING PLACE,24013,17706,2489
54TH STATE ASSEMBLY,N,0,VBM PORTION,21385,15166,1974
54TH STATE ASSEMBLY,N,235905,TOTAL,45384,32872,4463
59TH STATE ASSEMBLY,N,130190,POLLING PLACE,7893,4797,1524
59TH STATE ASSEMBLY,N,0,VBM PORTION,4991,3450,682
59TH STATE ASSEMBLY,N,130190,TOTAL,12880,8247,2206
62ND STATE ASSEMBLY,N,28686,POLLING PLACE,2443,1578,284
62ND STATE ASSEMBLY,N,0,VBM PORTION,1746,1269,169
62ND STATE ASSEMBLY,N,28686,TOTAL,4187,2847,453
64TH STATE ASSEMBLY,N,30370,POLLING PLACE,1800,1066,268
64TH STATE ASSEMBLY,N,0,VBM PORTION,1239,855,182
64TH STATE ASSEMBLY,N,30370,TOTAL,3039,1921,450
