LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE RUNNER,CHRIS PARKER
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,8648,4598
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,9685,5080
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,18333,9678
38TH STATE ASSEMBLY,N,167293,POLLING PLACE,14911,8123,4224
38TH STATE ASSEMBLY,N,0,VBM PORTION,17925,9953,5309
38TH STATE ASSEMBLY,N,167293,TOTAL,32831,18076,9533
39TH STATE ASSEMBLY,N,104052,POLLING PLACE,7167,1889,2965
39TH STATE ASSEMBLY,N,0,VBM PORTION,6268,1993,2572
39TH STATE ASSEMBLY,N,104052,TOTAL,13432,3882,5537
41ST STATE ASSEMBLY,N,131,POLLING PLACE,0,0,0
41ST STATE ASSEMBLY,N,0,VBM PORTION,30,11,6
41ST STATE ASSEMBLY,N,131,TOTAL,30,11,6
43RD STATE ASSEMBLY,N,28,POLLING PLACE,0,0,0
43RD STATE ASSEMBLY,N,0,VBM PORTION,7,3,2
43RD STATE ASSEMBLY,N,28,TOTAL,7,3,2
45TH STATE ASSEMBLY,N,34066,POLLING PLACE,2654,827,936
45TH STATE ASSEMBLY,N,0,VBM PORTION,2768,975,1008
45TH STATE ASSEMBLY,N,34066,TOTAL,5422,1802,1944
46TH STATE ASSEMBLY,N,88602,POLLING PLACE,6109,1612,2406
46TH STATE ASSEMBLY,N,0,VBM PORTION,5789,1707,2347
46TH STATE ASSEMBLY,N,88602,TOTAL,11896,3319,4753
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,920,1410
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1046,1411
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,1966,2821
