LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
38TH STATE ASSEMBLY,N,23438,POLLING PLACE,2494,992
38TH STATE ASSEMBLY,N,0,VBM PORTION,2510,992
38TH STATE ASSEMBLY,N,23438,TOTAL,5002,1984
39TH STATE ASSEMBLY,N,94113,POLLING PLACE,6711,2975
39TH STATE ASSEMBLY,N,0,VBM PORTION,6068,2859
39TH STATE ASSEMBLY,N,94113,TOTAL,12775,5834
41ST STATE ASSEMBLY,N,222478,POLLING PLACE,23275,9801
41ST STATE ASSEMBLY,N,0,VBM PORTION,23690,10612
41ST STATE ASSEMBLY,N,222478,TOTAL,46951,20413
43RD STATE ASSEMBLY,N,255889,POLLING PLACE,23129,8703
43RD STATE ASSEMBLY,N,0,VBM PORTION,26010,10094
43RD STATE ASSEMBLY,N,255889,TOTAL,49135,18797
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,228
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,255
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,483
45TH STATE ASSEMBLY,N,215458,POLLING PLACE,19463,7657
45TH STATE ASSEMBLY,N,0,VBM PORTION,21867,9569
45TH STATE ASSEMBLY,N,215458,TOTAL,41325,17226
46TH STATE ASSEMBLY,N,127686,POLLING PLACE,12071,5063
46TH STATE ASSEMBLY,N,0,VBM PORTION,11565,5524
46TH STATE ASSEMBLY,N,127686,TOTAL,23633,10587
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,6370
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,6361
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,12731
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,6054
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,7240
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,13294
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,18613
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,17111
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,35724
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,7901
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,5826
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,13727
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,5521
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,4932
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,10453
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,14283
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,12939
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,27222
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,2499
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3535
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,6034
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,7394
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,7256
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,14650
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,7254
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,6607
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,13861
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,5507
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3793
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,9300
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,13257
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,10426
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,23683
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,5389
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,4809
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,10198
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,8947
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,6766
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,15713
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,14767
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,16179
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,30946
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,12730
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,13429
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,26159
