LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,9923,2341
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,10941,2224
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,20864,4565
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,10776,2444
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,12493,2668
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,23269,5112
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,8159,2653
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,7458,2096
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,15617,4749
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,13465,4207
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,13242,3882
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,26707,8089
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,12277,3842
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,12628,3585
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,24905,7427
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,417,106
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,418,101
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,835,207
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,12849,3704
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,14159,3743
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,27008,7447
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,9931,3675
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,9318,3122
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,19249,6797
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,9829,2466
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,8849,2145
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,18678,4611
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,8731,2838
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,9177,3029
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,17908,5867
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,17317,6627
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,16143,5299
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,33460,11926
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,8374,3794
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,6257,2231
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,14631,6025
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,2085,720
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,2128,580
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,4213,1300
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,5538,2583
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,4497,1933
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,10035,4516
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,14628,4843
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,12683,4174
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,27311,9017
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,3688,1052
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,4541,1286
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,8229,2338
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,11020,2841
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,10002,2424
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,21022,5265
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,9928,3233
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,7934,2310
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,17862,5543
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,5960,1568
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3437,960
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,9397,2528
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,13794,4314
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,10184,3143
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,23978,7457
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,7137,2183
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,5785,1599
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,12922,3782
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,9519,2525
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,6506,1917
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,16025,4442
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,19624,4804
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,20164,4816
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,39788,9620
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,15587,5157
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,16138,4683
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,31725,9840
