LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS J FRISCO
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,10537
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,11423
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,21960
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,11166
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,12712
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,23878
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,8986
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,8080
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,17066
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,14171
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,13089
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,27260
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,12990
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,12965
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,25955
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,404
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,411
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,815
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,13136
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,14336
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,27472
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,11095
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,10112
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,21207
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,10176
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,9171
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,19347
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,9441
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,9801
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,19242
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,18992
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,16543
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,35535
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,10162
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,7185
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,17347
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,2408
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,2299
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,4707
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,6876
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,5567
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,12443
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,14570
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,13178
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,27748
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,4009
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,4927
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,8936
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,11785
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,10564
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,22349
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,11286
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,9023
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,20309
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,6198
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3774
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,9972
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,14209
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,10546
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,24755
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,8126
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,6413
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,14539
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,9818
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,7083
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,16901
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,19756
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,19778
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,39534
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,17650
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,17610
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,35260
