LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,605,1465,2020,221,623,548,1929,937,878,696,686,2342
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,667,1422,1789,184,604,360,2142,909,875,856,929,2653
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,1272,2887,3809,405,1227,908,4071,1846,1753,1552,1615,4995
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,507,2910,2744,218,483,415,2298,1028,665,541,638,1566
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,665,2803,2609,214,672,360,2492,1071,760,822,1057,2108
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,1172,5713,5353,432,1155,775,4790,2099,1425,1363,1695,3674
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,387,1255,1980,239,487,891,2097,807,1413,568,626,955
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,350,1118,1559,205,404,494,1808,657,1036,581,724,1067
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,737,2373,3539,444,891,1385,3905,1464,2449,1149,1350,2022
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,526,1353,4641,590,978,398,3601,1962,1170,832,894,1263
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,574,1590,4014,515,968,250,3559,1537,1074,953,1138,1447
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,1100,2943,8655,1105,1946,648,7160,3499,2244,1785,2032,2710
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,510,1381,3873,340,1410,511,3739,1367,1149,754,1000,1262
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,616,1711,3245,344,1477,405,3436,1219,1110,902,1341,1400
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,1126,3092,7118,684,2887,916,7175,2586,2259,1656,2341,2662
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,14,41,128,5,35,19,153,31,22,26,28,49
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,16,47,110,5,33,22,97,47,24,29,28,82
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,30,88,238,10,68,41,250,78,46,55,56,131
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,564,2316,3924,230,719,626,3452,1331,929,725,906,1675
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,641,2469,3311,171,818,440,3668,1428,949,1042,1342,2113
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,1205,4785,7235,401,1537,1066,7120,2759,1878,1767,2248,3788
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,451,1535,2950,172,454,505,3538,1323,1192,671,799,1036
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,423,1439,2297,144,431,320,2864,1211,968,775,979,1093
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,874,2974,5247,316,885,825,6402,2534,2160,1446,1778,2129
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,409,978,1698,149,434,706,2049,1345,2857,659,644,1114
