LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
18TH ST SENATE,N,412533,POLLING PLACE,31735,430,1427,2046,1304,333,17175,5255,949
18TH ST SENATE,N,0,VBM PORTION,29333,324,1277,1502,1190,276,16385,5200,651
18TH ST SENATE,N,412533,TOTAL,61053,754,2704,3548,2494,609,33560,10455,1600
20TH ST SENATE,N,57852,POLLING PLACE,3541,59,192,248,269,40,1758,514,105
20TH ST SENATE,N,0,VBM PORTION,3425,30,248,195,256,37,1759,555,67
20TH ST SENATE,N,57852,TOTAL,6966,89,440,443,525,77,3517,1069,172
21ST ST SENATE,N,295641,POLLING PLACE,24416,369,1908,922,2750,245,7376,8461,398
21ST ST SENATE,N,0,VBM PORTION,28120,453,1982,1184,2782,237,9082,9706,440
21ST ST SENATE,N,295641,TOTAL,52527,822,3890,2106,5532,482,16458,18167,838
22ND ST SENATE,N,402143,POLLING PLACE,28682,615,2765,2079,1665,304,12540,5197,741
22ND ST SENATE,N,0,VBM PORTION,27543,436,3033,1709,1485,238,12436,5085,486
22ND ST SENATE,N,402143,TOTAL,56212,1051,5798,3788,3150,542,24976,10282,1227
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0,0,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,0,0,0,3,2,0,0,0
23RD ST SENATE,N,30,TOTAL,5,0,0,0,3,2,0,0,0
24TH ST SENATE,N,356351,POLLING PLACE,28761,471,1017,2475,1028,547,16723,1773,1165
24TH ST SENATE,N,0,VBM PORTION,21596,261,1184,1530,803,310,12869,1745,642
24TH ST SENATE,N,356351,TOTAL,50349,732,2201,4005,1831,857,29592,3518,1807
25TH ST SENATE,N,496236,POLLING PLACE,48828,615,3019,2159,3256,427,22692,11099,960
25TH ST SENATE,N,0,VBM PORTION,53257,599,2911,2228,3363,367,23786,12110,817
25TH ST SENATE,N,496236,TOTAL,102064,1214,5930,4387,6619,794,46478,23209,1777
26TH ST SENATE,N,595374,POLLING PLACE,71309,515,4652,2739,3926,526,39648,11203,1650
26TH ST SENATE,N,0,VBM PORTION,68061,516,4369,2324,4140,376,36185,12455,1140
26TH ST SENATE,N,595374,TOTAL,139348,1031,9021,5063,8066,902,75833,23658,2790
27TH ST SENATE,N,347297,POLLING PLACE,33069,322,2088,1123,1969,231,16005,7661,737
27TH ST SENATE,N,0,VBM PORTION,36077,314,1991,1206,2087,282,17561,8676,543
27TH ST SENATE,N,347297,TOTAL,69136,636,4079,2329,4056,513,33566,16337,1280
29TH ST SENATE,N,87063,POLLING PLACE,6296,64,621,357,485,51,2471,1518,101
29TH ST SENATE,N,0,VBM PORTION,8041,99,1094,386,548,57,3170,1820,89
29TH ST SENATE,N,87063,TOTAL,14333,163,1715,743,1033,108,5641,3338,190
30TH ST SENATE,N,452850,POLLING PLACE,38257,383,867,2133,769,620,26447,2089,941
30TH ST SENATE,N,0,VBM PORTION,31389,199,869,1652,678,375,21438,2188,547
30TH ST SENATE,N,452850,TOTAL,69626,582,1736,3785,1447,995,47885,4277,1488
32ND ST SENATE,N,443529,POLLING PLACE,35347,682,2952,2573,2034,417,14482,7962,781
32ND ST SENATE,N,0,VBM PORTION,31444,521,2782,1866,1731,295,13297,7555,514
32ND ST SENATE,N,443529,TOTAL,66772,1203,5734,4439,3765,712,27779,15517,1295
33RD ST SENATE,N,389200,POLLING PLACE,29194,528,1318,2709,1332,479,14705,3888,952
33RD ST SENATE,N,0,VBM PORTION,24284,353,998,1723,1018,324,13123,4011,599
33RD ST SENATE,N,389200,TOTAL,53466,881,2316,4432,2350,803,27828,7899,1551
34TH ST SENATE,N,43970,POLLING PLACE,7336,61,418,238,543,46,3400,1732,132
34TH ST SENATE,N,0,VBM PORTION,7698,60,427,213,566,36,3390,2250,84
34TH ST SENATE,N,43970,TOTAL,15033,121,845,451,1109,82,6790,3982,216
35TH ST SENATE,N,443338,POLLING PLACE,36605,501,2069,2354,1240,456,21156,4253,893
35TH ST SENATE,N,0,VBM PORTION,30609,439,1918,1745,1112,325,17427,4300,568
35TH ST SENATE,N,443338,TOTAL,67191,940,3987,4099,2352,781,38583,8553,1461
