LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
18TH ST SENATE,N,412533,POLLING PLACE,31735,6068,1606,1075,9959,3452,5830
18TH ST SENATE,N,0,VBM PORTION,29333,5686,1604,1289,7772,3575,5781
18TH ST SENATE,N,412533,TOTAL,61053,11754,3210,2364,17731,7027,11611
20TH ST SENATE,N,57852,POLLING PLACE,3541,700,132,112,1230,427,507
20TH ST SENATE,N,0,VBM PORTION,3425,649,141,197,964,530,626
20TH ST SENATE,N,57852,TOTAL,6966,1349,273,309,2194,957,1133
21ST ST SENATE,N,295641,POLLING PLACE,24416,2636,995,777,3983,5227,8224
21ST ST SENATE,N,0,VBM PORTION,28120,3517,1370,1156,3832,5875,9593
21ST ST SENATE,N,295641,TOTAL,52527,6153,2365,1933,7815,11102,17817
22ND ST SENATE,N,402143,POLLING PLACE,28682,5544,1187,921,8607,3583,5670
22ND ST SENATE,N,0,VBM PORTION,27543,6562,1096,990,6236,3730,5904
22ND ST SENATE,N,402143,TOTAL,56212,12106,2283,1911,14843,7313,11574
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,0,0,0,1,2,2
23RD ST SENATE,N,30,TOTAL,5,0,0,0,1,2,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,6212,1686,1160,11590,1678,2636
24TH ST SENATE,N,0,VBM PORTION,21596,5387,1303,990,6890,1939,2342
24TH ST SENATE,N,356351,TOTAL,50349,11599,2989,2150,18480,3617,4978
25TH ST SENATE,N,496236,POLLING PLACE,48828,9461,1932,1227,10028,6883,13223
25TH ST SENATE,N,0,VBM PORTION,53257,9280,2386,1709,9465,7709,13953
25TH ST SENATE,N,496236,TOTAL,102064,18741,4318,2936,19493,14592,27176
26TH ST SENATE,N,595374,POLLING PLACE,71309,15366,4094,2165,14719,6805,18297
26TH ST SENATE,N,0,VBM PORTION,68061,13489,3595,2223,12365,8407,17932
26TH ST SENATE,N,595374,TOTAL,139348,28855,7689,4388,27084,15212,36229
27TH ST SENATE,N,347297,POLLING PLACE,33069,5243,1612,1222,7074,4519,9199
27TH ST SENATE,N,0,VBM PORTION,36077,5900,1623,1631,6634,5443,9781
27TH ST SENATE,N,347297,TOTAL,69136,11143,3235,2853,13708,9962,18980
29TH ST SENATE,N,87063,POLLING PLACE,6296,1097,205,237,1400,1140,1495
29TH ST SENATE,N,0,VBM PORTION,8041,1862,280,272,1285,1609,1855
29TH ST SENATE,N,87063,TOTAL,14333,2959,485,509,2685,2749,3350
30TH ST SENATE,N,452850,POLLING PLACE,38257,11773,1611,1912,10713,1730,3388
30TH ST SENATE,N,0,VBM PORTION,31389,9664,1348,2151,7895,1844,3236
30TH ST SENATE,N,452850,TOTAL,69626,21437,2959,4063,18608,3574,6624
32ND ST SENATE,N,443529,POLLING PLACE,35347,5207,1232,1138,10452,5788,7217
32ND ST SENATE,N,0,VBM PORTION,31444,5425,1279,1404,7204,5531,7073
32ND ST SENATE,N,443529,TOTAL,66772,10632,2511,2542,17656,11319,14290
33RD ST SENATE,N,389200,POLLING PLACE,29194,5317,1579,1476,9742,3266,3763
33RD ST SENATE,N,0,VBM PORTION,24284,4709,1413,1481,6360,3340,3805
33RD ST SENATE,N,389200,TOTAL,53466,10026,2992,2957,16102,6606,7568
34TH ST SENATE,N,43970,POLLING PLACE,7336,1122,307,90,1520,1417,1791
34TH ST SENATE,N,0,VBM PORTION,7698,1074,294,134,1265,1551,2256
34TH ST SENATE,N,43970,TOTAL,15033,2196,601,224,2785,2968,4047
35TH ST SENATE,N,443338,POLLING PLACE,36605,7897,1471,2208,11565,2861,4917
35TH ST SENATE,N,0,VBM PORTION,30609,6788,1401,2378,7704,3398,4797
35TH ST SENATE,N,443338,TOTAL,67191,14685,2872,4586,19269,6259,9714
