LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
18TH ST SENATE,N,412533,POLLING PLACE,31735,2280,7199,18912
18TH ST SENATE,N,0,VBM PORTION,29333,1842,7256,17451
18TH ST SENATE,N,412533,TOTAL,61053,4122,14455,36363
20TH ST SENATE,N,57852,POLLING PLACE,3541,277,871,2024
20TH ST SENATE,N,0,VBM PORTION,3425,203,970,1969
20TH ST SENATE,N,57852,TOTAL,6966,480,1841,3993
21ST ST SENATE,N,295641,POLLING PLACE,24416,1079,12399,8745
21ST ST SENATE,N,0,VBM PORTION,28120,1386,13882,10612
21ST ST SENATE,N,295641,TOTAL,52527,2465,26281,19357
22ND ST SENATE,N,402143,POLLING PLACE,28682,1802,7754,15915
22ND ST SENATE,N,0,VBM PORTION,27543,1311,7660,15981
22ND ST SENATE,N,402143,TOTAL,56212,3113,15414,31896
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,0,2,3
23RD ST SENATE,N,30,TOTAL,5,0,2,3
24TH ST SENATE,N,356351,POLLING PLACE,28761,2690,2962,19375
24TH ST SENATE,N,0,VBM PORTION,21596,1586,3019,14705
24TH ST SENATE,N,356351,TOTAL,50349,4276,5981,34080
25TH ST SENATE,N,496236,POLLING PLACE,48828,2385,16040,24750
25TH ST SENATE,N,0,VBM PORTION,53257,2435,17178,25862
25TH ST SENATE,N,496236,TOTAL,102064,4820,33218,50612
26TH ST SENATE,N,595374,POLLING PLACE,71309,4103,18500,40194
26TH ST SENATE,N,0,VBM PORTION,68061,3199,20028,37035
26TH ST SENATE,N,595374,TOTAL,139348,7302,38528,77229
27TH ST SENATE,N,347297,POLLING PLACE,33069,1580,11061,16850
27TH ST SENATE,N,0,VBM PORTION,36077,1538,12475,18340
27TH ST SENATE,N,347297,TOTAL,69136,3118,23536,35190
29TH ST SENATE,N,87063,POLLING PLACE,6296,269,2306,3061
29TH ST SENATE,N,0,VBM PORTION,8041,321,2767,4256
29TH ST SENATE,N,87063,TOTAL,14333,590,5073,7317
30TH ST SENATE,N,452850,POLLING PLACE,38257,2362,3085,28027
30TH ST SENATE,N,0,VBM PORTION,31389,1576,3328,22900
30TH ST SENATE,N,452850,TOTAL,69626,3938,6413,50927
32ND ST SENATE,N,443529,POLLING PLACE,35347,2022,11488,17965
32ND ST SENATE,N,0,VBM PORTION,31444,1505,10578,16288
32ND ST SENATE,N,443529,TOTAL,66772,3527,22066,34253
33RD ST SENATE,N,389200,POLLING PLACE,29194,2458,5854,17360
33RD ST SENATE,N,0,VBM PORTION,24284,1648,5707,14654
33RD ST SENATE,N,389200,TOTAL,53466,4106,11561,32014
34TH ST SENATE,N,43970,POLLING PLACE,7336,372,2642,3413
34TH ST SENATE,N,0,VBM PORTION,7698,297,3131,3426
34TH ST SENATE,N,43970,TOTAL,15033,669,5773,6839
35TH ST SENATE,N,443338,POLLING PLACE,36605,2132,6619,23672
35TH ST SENATE,N,0,VBM PORTION,30609,1541,6615,19533
35TH ST SENATE,N,443338,TOTAL,67191,3673,13234,43205
