LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANDY WHALLON,ALAN LOWENTHAL
26TH ST SENATE,N,1891,POLLING PLACE,206,66,109
26TH ST SENATE,N,0,VBM PORTION,193,97,83
26TH ST SENATE,N,1891,TOTAL,399,163,192
32ND ST SENATE,N,5721,POLLING PLACE,622,289,259
32ND ST SENATE,N,0,VBM PORTION,533,254,249
32ND ST SENATE,N,5721,TOTAL,1155,543,508
33RD ST SENATE,N,173054,POLLING PLACE,17521,4814,10756
33RD ST SENATE,N,0,VBM PORTION,16535,5111,10265
33RD ST SENATE,N,173054,TOTAL,34055,9925,21021
34TH ST SENATE,N,43970,POLLING PLACE,7336,2978,3635
34TH ST SENATE,N,0,VBM PORTION,7698,3592,3649
34TH ST SENATE,N,43970,TOTAL,15033,6570,7284
35TH ST SENATE,N,12303,POLLING PLACE,1063,162,679
35TH ST SENATE,N,0,VBM PORTION,958,196,670
35TH ST SENATE,N,12303,TOTAL,2021,358,1349
