LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JAMES B PIERCE,CAROL NAJERA
18TH ST SENATE,N,412533,POLLING PLACE,31735,11318,13038
18TH ST SENATE,N,0,VBM PORTION,29333,10459,11190
18TH ST SENATE,N,412533,TOTAL,61053,21777,24228
20TH ST SENATE,N,57852,POLLING PLACE,3541,1155,1717
20TH ST SENATE,N,0,VBM PORTION,3425,1247,1445
20TH ST SENATE,N,57852,TOTAL,6966,2402,3162
21ST ST SENATE,N,295641,POLLING PLACE,24416,8093,10864
21ST ST SENATE,N,0,VBM PORTION,28120,9437,11931
21ST ST SENATE,N,295641,TOTAL,52527,17530,22795
22ND ST SENATE,N,402143,POLLING PLACE,28682,9477,12575
22ND ST SENATE,N,0,VBM PORTION,27543,9946,10484
22ND ST SENATE,N,402143,TOTAL,56212,19423,23059
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,2
23RD ST SENATE,N,30,TOTAL,5,2,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,9459,12526
24TH ST SENATE,N,0,VBM PORTION,21596,7789,8174
24TH ST SENATE,N,356351,TOTAL,50349,17248,20700
25TH ST SENATE,N,496236,POLLING PLACE,48828,18604,17150
25TH ST SENATE,N,0,VBM PORTION,53257,18488,17161
25TH ST SENATE,N,496236,TOTAL,102064,37092,34311
26TH ST SENATE,N,595374,POLLING PLACE,71309,28868,20773
26TH ST SENATE,N,0,VBM PORTION,68061,26586,18889
26TH ST SENATE,N,595374,TOTAL,139348,55454,39662
27TH ST SENATE,N,347297,POLLING PLACE,33069,12357,11636
27TH ST SENATE,N,0,VBM PORTION,36077,13114,12207
27TH ST SENATE,N,347297,TOTAL,69136,25471,23843
29TH ST SENATE,N,87063,POLLING PLACE,6296,2225,2499
29TH ST SENATE,N,0,VBM PORTION,8041,2966,2774
29TH ST SENATE,N,87063,TOTAL,14333,5191,5273
30TH ST SENATE,N,452850,POLLING PLACE,38257,13864,12676
30TH ST SENATE,N,0,VBM PORTION,31389,11920,9591
30TH ST SENATE,N,452850,TOTAL,69626,25784,22267
32ND ST SENATE,N,443529,POLLING PLACE,35347,11188,16701
32ND ST SENATE,N,0,VBM PORTION,31444,10311,13326
32ND ST SENATE,N,443529,TOTAL,66772,21499,30027
33RD ST SENATE,N,389200,POLLING PLACE,29194,9256,12890
33RD ST SENATE,N,0,VBM PORTION,24284,8334,10011
33RD ST SENATE,N,389200,TOTAL,53466,17590,22901
34TH ST SENATE,N,43970,POLLING PLACE,7336,2367,2611
34TH ST SENATE,N,0,VBM PORTION,7698,2596,2705
34TH ST SENATE,N,43970,TOTAL,15033,4963,5316
35TH ST SENATE,N,443338,POLLING PLACE,36605,13038,14125
35TH ST SENATE,N,0,VBM PORTION,30609,11616,11119
35TH ST SENATE,N,443338,TOTAL,67191,24654,25244
