LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
18TH ST SENATE,N,412533,POLLING PLACE,31735,18055,6697
18TH ST SENATE,N,0,VBM PORTION,29333,16731,5590
18TH ST SENATE,N,412533,TOTAL,61053,34786,12287
20TH ST SENATE,N,57852,POLLING PLACE,3541,2065,850
20TH ST SENATE,N,0,VBM PORTION,3425,2062,707
20TH ST SENATE,N,57852,TOTAL,6966,4127,1557
21ST ST SENATE,N,295641,POLLING PLACE,24416,15303,4239
21ST ST SENATE,N,0,VBM PORTION,28120,17739,4300
21ST ST SENATE,N,295641,TOTAL,52527,33042,8539
22ND ST SENATE,N,402143,POLLING PLACE,28682,17201,5404
22ND ST SENATE,N,0,VBM PORTION,27543,16096,4817
22ND ST SENATE,N,402143,TOTAL,56212,33297,10221
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,2
23RD ST SENATE,N,30,TOTAL,5,2,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,14877,7337
24TH ST SENATE,N,0,VBM PORTION,21596,11345,4987
24TH ST SENATE,N,356351,TOTAL,50349,26222,12324
25TH ST SENATE,N,496236,POLLING PLACE,48828,28853,7992
25TH ST SENATE,N,0,VBM PORTION,53257,29171,7580
25TH ST SENATE,N,496236,TOTAL,102064,58024,15572
26TH ST SENATE,N,595374,POLLING PLACE,71309,38241,12564
26TH ST SENATE,N,0,VBM PORTION,68061,36156,10401
26TH ST SENATE,N,595374,TOTAL,139348,74397,22965
27TH ST SENATE,N,347297,POLLING PLACE,33069,18578,5877
27TH ST SENATE,N,0,VBM PORTION,36077,20199,5899
27TH ST SENATE,N,347297,TOTAL,69136,38777,11776
29TH ST SENATE,N,87063,POLLING PLACE,6296,3678,1183
29TH ST SENATE,N,0,VBM PORTION,8041,4433,1466
29TH ST SENATE,N,87063,TOTAL,14333,8111,2649
30TH ST SENATE,N,452850,POLLING PLACE,38257,19521,8528
30TH ST SENATE,N,0,VBM PORTION,31389,16285,6135
30TH ST SENATE,N,452850,TOTAL,69626,35806,14663
32ND ST SENATE,N,443529,POLLING PLACE,35347,20467,7968
32ND ST SENATE,N,0,VBM PORTION,31444,18038,6235
32ND ST SENATE,N,443529,TOTAL,66772,38505,14203
33RD ST SENATE,N,389200,POLLING PLACE,29194,15684,6958
33RD ST SENATE,N,0,VBM PORTION,24284,13659,5085
33RD ST SENATE,N,389200,TOTAL,53466,29343,12043
34TH ST SENATE,N,43970,POLLING PLACE,7336,3738,1375
34TH ST SENATE,N,0,VBM PORTION,7698,4200,1290
34TH ST SENATE,N,43970,TOTAL,15033,7938,2665
35TH ST SENATE,N,443338,POLLING PLACE,36605,19749,8898
35TH ST SENATE,N,0,VBM PORTION,30609,17275,6218
35TH ST SENATE,N,443338,TOTAL,67191,37024,15116
