LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
18TH ST SENATE,N,412533,POLLING PLACE,31735,4761,19226
18TH ST SENATE,N,0,VBM PORTION,29333,3673,18055
18TH ST SENATE,N,412533,TOTAL,61053,8434,37281
20TH ST SENATE,N,57852,POLLING PLACE,3541,569,2233
20TH ST SENATE,N,0,VBM PORTION,3425,466,2241
20TH ST SENATE,N,57852,TOTAL,6966,1035,4474
21ST ST SENATE,N,295641,POLLING PLACE,24416,2825,16291
21ST ST SENATE,N,0,VBM PORTION,28120,2711,19093
21ST ST SENATE,N,295641,TOTAL,52527,5536,35384
22ND ST SENATE,N,402143,POLLING PLACE,28682,3913,18011
22ND ST SENATE,N,0,VBM PORTION,27543,3217,17247
22ND ST SENATE,N,402143,TOTAL,56212,7130,35258
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,1,3
23RD ST SENATE,N,30,TOTAL,5,1,3
24TH ST SENATE,N,356351,POLLING PLACE,28761,5165,16222
24TH ST SENATE,N,0,VBM PORTION,21596,3216,12633
24TH ST SENATE,N,356351,TOTAL,50349,8381,28855
25TH ST SENATE,N,496236,POLLING PLACE,48828,6238,29560
25TH ST SENATE,N,0,VBM PORTION,53257,5387,30424
25TH ST SENATE,N,496236,TOTAL,102064,11625,59984
26TH ST SENATE,N,595374,POLLING PLACE,71309,10265,39217
26TH ST SENATE,N,0,VBM PORTION,68061,7994,37612
26TH ST SENATE,N,595374,TOTAL,139348,18259,76829
27TH ST SENATE,N,347297,POLLING PLACE,33069,4221,19816
27TH ST SENATE,N,0,VBM PORTION,36077,4060,21598
27TH ST SENATE,N,347297,TOTAL,69136,8281,41414
29TH ST SENATE,N,87063,POLLING PLACE,6296,759,3975
29TH ST SENATE,N,0,VBM PORTION,8041,826,5005
29TH ST SENATE,N,87063,TOTAL,14333,1585,8980
30TH ST SENATE,N,452850,POLLING PLACE,38257,5955,20575
30TH ST SENATE,N,0,VBM PORTION,31389,4315,17203
30TH ST SENATE,N,452850,TOTAL,69626,10270,37778
32ND ST SENATE,N,443529,POLLING PLACE,35347,4843,22648
32ND ST SENATE,N,0,VBM PORTION,31444,3506,20079
32ND ST SENATE,N,443529,TOTAL,66772,8349,42727
33RD ST SENATE,N,389200,POLLING PLACE,29194,4600,17247
33RD ST SENATE,N,0,VBM PORTION,24284,3079,15113
33RD ST SENATE,N,389200,TOTAL,53466,7679,32360
34TH ST SENATE,N,43970,POLLING PLACE,7336,825,4142
34TH ST SENATE,N,0,VBM PORTION,7698,720,4620
34TH ST SENATE,N,43970,TOTAL,15033,1545,8762
35TH ST SENATE,N,443338,POLLING PLACE,36605,5037,22390
35TH ST SENATE,N,0,VBM PORTION,30609,3722,19078
35TH ST SENATE,N,443338,TOTAL,67191,8759,41468
