LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
18TH ST SENATE,N,412533,POLLING PLACE,31735,10927,14381
18TH ST SENATE,N,0,VBM PORTION,29333,9936,12816
18TH ST SENATE,N,412533,TOTAL,61053,20863,27197
20TH ST SENATE,N,57852,POLLING PLACE,3541,1297,1632
20TH ST SENATE,N,0,VBM PORTION,3425,1281,1516
20TH ST SENATE,N,57852,TOTAL,6966,2578,3148
21ST ST SENATE,N,295641,POLLING PLACE,24416,10044,9708
21ST ST SENATE,N,0,VBM PORTION,28120,10558,11654
21ST ST SENATE,N,295641,TOTAL,52527,20602,21362
22ND ST SENATE,N,402143,POLLING PLACE,28682,9333,13785
22ND ST SENATE,N,0,VBM PORTION,27543,8860,12951
22ND ST SENATE,N,402143,TOTAL,56212,18193,26736
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,3,1
23RD ST SENATE,N,30,TOTAL,5,3,1
24TH ST SENATE,N,356351,POLLING PLACE,28761,9252,13872
24TH ST SENATE,N,0,VBM PORTION,21596,7375,10112
24TH ST SENATE,N,356351,TOTAL,50349,16627,23984
25TH ST SENATE,N,496236,POLLING PLACE,48828,15301,22221
25TH ST SENATE,N,0,VBM PORTION,53257,14544,23305
25TH ST SENATE,N,496236,TOTAL,102064,29845,45526
26TH ST SENATE,N,595374,POLLING PLACE,71309,21978,30768
26TH ST SENATE,N,0,VBM PORTION,68061,20169,28811
26TH ST SENATE,N,595374,TOTAL,139348,42147,59579
27TH ST SENATE,N,347297,POLLING PLACE,33069,12172,13070
27TH ST SENATE,N,0,VBM PORTION,36077,12797,14201
27TH ST SENATE,N,347297,TOTAL,69136,24969,27271
29TH ST SENATE,N,87063,POLLING PLACE,6296,2353,2637
29TH ST SENATE,N,0,VBM PORTION,8041,3021,3243
29TH ST SENATE,N,87063,TOTAL,14333,5374,5880
30TH ST SENATE,N,452850,POLLING PLACE,38257,12758,17458
30TH ST SENATE,N,0,VBM PORTION,31389,10804,13202
30TH ST SENATE,N,452850,TOTAL,69626,23562,30660
32ND ST SENATE,N,443529,POLLING PLACE,35347,13089,15751
32ND ST SENATE,N,0,VBM PORTION,31444,11149,13824
32ND ST SENATE,N,443529,TOTAL,66772,24238,29575
33RD ST SENATE,N,389200,POLLING PLACE,29194,10258,12809
33RD ST SENATE,N,0,VBM PORTION,24284,7982,10965
33RD ST SENATE,N,389200,TOTAL,53466,18240,23774
34TH ST SENATE,N,43970,POLLING PLACE,7336,2546,2671
34TH ST SENATE,N,0,VBM PORTION,7698,2468,3074
34TH ST SENATE,N,43970,TOTAL,15033,5014,5745
35TH ST SENATE,N,443338,POLLING PLACE,36605,12145,17822
35TH ST SENATE,N,0,VBM PORTION,30609,10095,14441
35TH ST SENATE,N,443338,TOTAL,67191,22240,32263
