LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JUVENTINO GOMEZ,HILDA L SOLIS,A  A SAUCEDO HOOD
20TH ST SENATE,N,57852,POLLING PLACE,3541,444,1903,667
20TH ST SENATE,N,0,VBM PORTION,3425,419,1590,768
20TH ST SENATE,N,57852,TOTAL,6966,863,3493,1435
22ND ST SENATE,N,243476,POLLING PLACE,16129,2018,9818,2260
22ND ST SENATE,N,0,VBM PORTION,14612,1595,8216,2234
22ND ST SENATE,N,243476,TOTAL,30733,3613,18034,4494
24TH ST SENATE,N,252848,POLLING PLACE,21065,2425,13931,1829
24TH ST SENATE,N,0,VBM PORTION,14839,1669,8587,1856
24TH ST SENATE,N,252848,TOTAL,35900,4094,22518,3685
25TH ST SENATE,N,22605,POLLING PLACE,2882,320,1607,449
25TH ST SENATE,N,0,VBM PORTION,2748,242,1449,467
25TH ST SENATE,N,22605,TOTAL,5629,562,3056,916
29TH ST SENATE,N,31972,POLLING PLACE,2134,310,1033,452
29TH ST SENATE,N,0,VBM PORTION,2809,358,1238,532
29TH ST SENATE,N,31972,TOTAL,4941,668,2271,984
30TH ST SENATE,N,20588,POLLING PLACE,1499,166,819,134
30TH ST SENATE,N,0,VBM PORTION,1385,158,594,200
30TH ST SENATE,N,20588,TOTAL,2884,324,1413,334
32ND ST SENATE,N,68399,POLLING PLACE,4785,557,3084,617
32ND ST SENATE,N,0,VBM PORTION,3673,376,2138,578
32ND ST SENATE,N,68399,TOTAL,8453,933,5222,1195
33RD ST SENATE,N,97366,POLLING PLACE,5249,633,3408,501
33RD ST SENATE,N,0,VBM PORTION,2995,405,1789,431
33RD ST SENATE,N,97366,TOTAL,8240,1038,5197,932
