LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,56,10,4,26,16,1,26
ACTON,0050003A,1,3,N,0,VBM PORTION,133,29,20,5,28,3,6,26
ACTON,0050003A,1,3,N,1086,TOTAL,288,85,30,9,54,19,7,52
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,43,16,3,18,4,5,17
ACTON,0050004A,2,3,N,0,VBM PORTION,132,45,17,2,26,8,2,18
ACTON,0050004A,2,3,N,820,TOTAL,242,88,33,5,44,12,7,35
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,31,18,3,27,7,3,26
ACTON,0050005A,3,3,N,0,VBM PORTION,83,32,9,0,13,8,1,10
ACTON,0050005A,3,3,N,748,TOTAL,205,63,27,3,40,15,4,36
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,14,10,1,11,4,2,12
ACTON,0050014A,4,3,N,0,VBM PORTION,57,17,7,1,8,2,1,11
ACTON,0050014A,4,3,N,488,TOTAL,114,31,17,2,19,6,3,23
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,9,4,0,6,0,0,1
ACTON,0050022A,6001,4,Y,61,TOTAL,22,9,4,0,6,0,0,1
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,0,0,1,0,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,0,0,1,0,0,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0,1,0,0,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0,1,0,0,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,39,20,3,39,15,5,11
ACTON,0050059A,5,3,N,0,VBM PORTION,122,31,17,7,23,11,3,24
ACTON,0050059A,5,3,N,1211,TOTAL,272,70,37,10,62,26,8,35
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,55,12,2,33,7,2,28
ACTON,0050061A,6,3,N,0,VBM PORTION,155,38,18,5,37,9,0,31
ACTON,0050061A,6,3,N,1159,TOTAL,308,93,30,7,70,16,2,59
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,1,0,0,2,1,0,3
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,1,0,0,2,1,0,3
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,4,2,0,11,2,0,2
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,4,2,0,11,2,0,2
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,21,11,5,96,5,1,12
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,28,11,3,61,6,2,19
AGOURA,0070004A,7,88,N,1212,TOTAL,312,49,22,8,157,11,3,31
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,19,10,3,114,4,6,14
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,28,11,1,76,3,1,14
AGOURA,0070006A,8,88,N,1201,TOTAL,337,47,21,4,190,7,7,28
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,2,1,0,22,8,1,5
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,8,9,3,30,8,1,21
AGOURA,0070008B,9,56,N,846,TOTAL,143,10,10,3,52,16,2,26
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,8,5,1,73,7,1,20
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,9,5,3,36,4,2,6
AGOURA,0070041A,10,88,N,716,TOTAL,193,17,10,4,109,11,3,26
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,14,15,6,57,6,3,13
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,18,20,2,62,4,1,9
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,32,35,8,119,10,4,22
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,17,10,0,72,10,4,22
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,26,28,2,63,9,2,15
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,43,38,2,135,19,6,37
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,15,7,2,58,6,3,16
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,15,8,2,39,6,1,10
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,30,15,4,97,12,4,26
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,17,10,1,60,7,1,12
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,22,8,4,51,6,4,10
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,39,18,5,111,13,5,22
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,13,10,4,75,2,1,12
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,12,13,5,39,3,1,16
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,25,23,9,114,5,2,28
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,27,12,5,61,9,1,19
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,29,15,4,76,6,1,6
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,56,27,9,137,15,2,25
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,30,11,6,70,2,6,11
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,27,15,2,55,4,5,15
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,57,26,8,125,6,11,26
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,17,8,4,37,4,0,12
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,4,4,1,51,3,0,9
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,21,12,5,88,7,0,21
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,27,5,0,77,9,4,25
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,29,14,6,70,2,0,15
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,56,19,6,147,11,4,40
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,12,8,2,54,5,1,25
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,25,16,1,56,4,5,11
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,37,24,3,110,9,6,36
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,16,11,4,56,6,3,8
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,12,11,3,75,6,0,11
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,28,22,7,131,12,3,19
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,21,13,1,69,7,1,19
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,18,20,0,65,3,1,16
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,39,33,1,134,10,2,35
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,33,14,5,33,16,4,11
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,35,20,1,27,11,3,15
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,68,34,6,60,27,7,26
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,34,6,5,22,14,2,11
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,16,7,1,21,5,1,16
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,50,13,6,43,19,3,27
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,13,11,2,13,7,1,6
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,11,15,2,11,6,7,10
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,24,26,4,24,13,8,16
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,6,2,0,11,3,0,2
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,6,2,0,11,3,0,2
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,3,1,0,3,1,1,2
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,3,1,0,3,1,1,2
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,4,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,4,0,0,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0,0,0,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,4,4,1,62,1,1,6
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,6,5,1,36,4,1,5
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,10,9,2,98,5,2,11
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,1,3,2,36,0,0,2
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,2,0,4,30,5,3,5
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,3,3,6,66,5,3,7
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,7,9,4,76,1,1,18
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,5,18,4,58,4,2,17
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,12,27,8,134,5,3,35
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,3,2,1,41,3,0,7
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,4,5,4,40,2,0,11
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,7,7,5,81,5,0,18
