LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,0,0,24,0,1,5,5,75,33,1,1,0,3,2,3
ACTON,0050003A,1,3,N,0,VBM PORTION,133,1,0,26,0,0,2,7,63,20,0,0,0,5,5,0
ACTON,0050003A,1,3,N,1086,TOTAL,288,1,0,50,0,1,7,12,138,53,1,1,0,8,7,3
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,0,1,15,0,2,2,3,42,38,2,0,0,3,0,0
ACTON,0050004A,2,3,N,0,VBM PORTION,132,1,1,29,0,0,1,3,44,48,2,0,0,0,1,0
ACTON,0050004A,2,3,N,820,TOTAL,242,1,2,44,0,2,3,6,86,86,4,0,0,3,1,0
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,0,1,23,2,1,3,2,55,24,2,0,3,1,3,0
ACTON,0050005A,3,3,N,0,VBM PORTION,83,1,2,11,1,3,0,10,34,17,1,0,0,0,0,1
ACTON,0050005A,3,3,N,748,TOTAL,205,1,3,34,3,4,3,12,89,41,3,0,3,1,3,1
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,0,0,12,0,2,1,1,34,5,0,0,0,1,0,0
ACTON,0050014A,4,3,N,0,VBM PORTION,57,0,1,11,0,1,1,1,23,16,0,0,0,0,0,0
ACTON,0050014A,4,3,N,488,TOTAL,114,0,1,23,0,3,2,2,57,21,0,0,0,1,0,0
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,0,0,5,0,0,0,0,9,6,0,0,0,2,0,0
ACTON,0050022A,6001,4,Y,61,TOTAL,22,0,0,5,0,0,0,0,9,6,0,0,0,2,0,0
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
