LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,1,8,5,29,4,22,75,3
ACTON,0050003A,1,3,N,0,VBM PORTION,133,1,13,7,25,1,27,45,4
ACTON,0050003A,1,3,N,1086,TOTAL,288,2,21,12,54,5,49,120,7
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,0,17,2,24,0,17,42,2
ACTON,0050004A,2,3,N,0,VBM PORTION,132,2,8,5,11,0,27,65,4
ACTON,0050004A,2,3,N,820,TOTAL,242,2,25,7,35,0,44,107,6
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,3,14,3,20,2,24,46,3
ACTON,0050005A,3,3,N,0,VBM PORTION,83,4,8,2,19,0,14,29,0
ACTON,0050005A,3,3,N,748,TOTAL,205,7,22,5,39,2,38,75,3
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,1,2,0,8,2,12,31,0
ACTON,0050014A,4,3,N,0,VBM PORTION,57,1,4,1,4,0,7,29,0
ACTON,0050014A,4,3,N,488,TOTAL,114,2,6,1,12,2,19,60,0
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0,0,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,0,0,0,1,0,8,13,0
ACTON,0050022A,6001,4,Y,61,TOTAL,22,0,0,0,1,0,8,13,0
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,0,0,0,0,1,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,0,0,0,0,1,0,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0,0,0,0,0,1,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0,0,0,0,0,1,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,4,15,3,13,1,34,66,0
ACTON,0050059A,5,3,N,0,VBM PORTION,122,3,8,2,20,0,29,53,4
ACTON,0050059A,5,3,N,1211,TOTAL,272,7,23,5,33,1,63,119,4
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,0,10,3,27,0,30,70,2
ACTON,0050061A,6,3,N,0,VBM PORTION,155,4,11,4,21,2,35,63,3
ACTON,0050061A,6,3,N,1159,TOTAL,308,4,21,7,48,2,65,133,5
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,0,0,0,4,0,2,1,0
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,0,0,0,4,0,2,1,0
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,0,8,0,0,0,11,4,0
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,0,8,0,0,0,11,4,0
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,0,13,6,11,1,88,29,9
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,2,13,9,16,2,51,31,2
AGOURA,0070004A,7,88,N,1212,TOTAL,312,2,26,15,27,3,139,60,11
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,2,8,13,13,1,105,29,2
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,2,8,2,16,1,70,29,4
AGOURA,0070006A,8,88,N,1201,TOTAL,337,4,16,15,29,2,175,58,6
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,0,6,1,2,0,22,11,0
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,0,7,1,14,1,34,33,1
AGOURA,0070008B,9,56,N,846,TOTAL,143,0,13,2,16,1,56,44,1
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,1,4,2,14,2,64,20,5
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,0,2,1,9,0,36,15,0
AGOURA,0070041A,10,88,N,716,TOTAL,193,1,6,3,23,2,100,35,5
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,2,6,5,7,1,56,34,2
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,0,9,4,8,2,63,34,0
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,2,15,9,15,3,119,68,2
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,2,11,9,7,0,77,36,0
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,1,15,2,18,0,67,46,3
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,3,26,11,25,0,144,82,3
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,3,11,9,6,1,51,22,1
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,1,10,7,4,0,34,26,2
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,4,21,16,10,1,85,48,3
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,0,1,6,15,1,55,33,2
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,3,10,1,8,0,51,28,3
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,3,11,7,23,1,106,61,5
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,0,12,4,8,0,76,21,4
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,1,5,3,9,0,48,24,2
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,1,17,7,17,0,124,45,6
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,0,14,6,22,0,53,38,3
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,1,10,3,11,0,73,35,7
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,1,24,9,33,0,126,73,10
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,1,16,6,10,1,67,40,5
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,2,13,7,7,1,49,45,4
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,3,29,13,17,2,116,85,9
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,0,12,0,11,0,40,18,3
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,1,2,3,5,0,45,14,0
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,1,14,3,16,0,85,32,3
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,1,11,4,13,1,76,44,3
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,1,15,7,11,2,69,39,1
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,2,26,11,24,3,145,83,4
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,0,10,6,11,0,60,20,1
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,2,14,5,4,1,58,31,3
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,2,24,11,15,1,118,51,4
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,1,8,4,6,0,53,29,1
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,0,9,7,9,1,67,21,0
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,1,17,11,15,1,120,50,1
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,3,9,11,16,0,59,30,2
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,1,16,6,5,2,61,32,2
