LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,4,33,102
ACTON,0050003A,1,3,N,0,VBM PORTION,133,3,34,79
ACTON,0050003A,1,3,N,1086,TOTAL,288,7,67,181
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,2,16,79
ACTON,0050004A,2,3,N,0,VBM PORTION,132,3,35,81
ACTON,0050004A,2,3,N,820,TOTAL,242,5,51,160
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,5,29,77
ACTON,0050005A,3,3,N,0,VBM PORTION,83,4,14,57
ACTON,0050005A,3,3,N,748,TOTAL,205,9,43,134
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,3,12,39
ACTON,0050014A,4,3,N,0,VBM PORTION,57,1,6,43
ACTON,0050014A,4,3,N,488,TOTAL,114,4,18,82
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,0,7,13
ACTON,0050022A,6001,4,Y,61,TOTAL,22,0,7,13
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,0,1,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,0,1,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,1,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,1,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,6,34,95
ACTON,0050059A,5,3,N,0,VBM PORTION,122,7,23,80
ACTON,0050059A,5,3,N,1211,TOTAL,272,13,57,175
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,7,33,93
ACTON,0050061A,6,3,N,0,VBM PORTION,155,5,37,100
ACTON,0050061A,6,3,N,1159,TOTAL,308,12,70,193
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,0,2,4
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,0,2,4
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,0,8,10
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,0,8,10
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,19,79,49
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,5,56,59
AGOURA,0070004A,7,88,N,1212,TOTAL,312,24,135,108
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,10,104,46
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,1,72,52
AGOURA,0070006A,8,88,N,1201,TOTAL,337,11,176,98
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,2,18,15
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,1,28,40
AGOURA,0070008B,9,56,N,846,TOTAL,143,3,46,55
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,4,58,41
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,5,29,23
AGOURA,0070041A,10,88,N,716,TOTAL,193,9,87,64
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,8,57,40
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,2,58,49
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,10,115,89
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,5,72,52
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,3,62,74
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,8,134,126
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,2,52,44
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,7,33,34
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,9,85,78
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,8,52,45
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,3,49,50
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,11,101,95
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,5,72,37
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,6,46,34
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,11,118,71
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,5,56,65
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,7,68,47
