LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,17,4
ACTON,0050022A,6001,4,Y,61,TOTAL,22,17,4
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,23,59
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,22,42
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,45,101
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,6,41
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,8,45
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,14,86
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,50,81
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,60,59
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,110,140
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,15,43
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,18,53
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,33,96
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,16,52
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,7,47
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,23,99
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,29,89
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,25,80
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,54,169
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,10,62
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,15,48
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,25,110
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,25,45
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,15,42
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,40,87
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,38,73
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,22,47
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,60,120
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,32,54
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,41,27
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,73,81
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,18,56
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,11,49
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,29,105
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,24,38
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,32,81
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,56,119
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,18,65
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,18,40
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,36,105
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,11,55
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,25,47
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,36,102
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,7,22
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,7,24
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,14,46
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,7,40
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,17,44
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,24,84
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,14,57
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,16,58
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,30,115
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,28,52
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,15,57
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,43,109
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,15,30
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,12,23
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,27,53
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,21,64
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,27,41
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,48,105
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,11,35
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,16,47
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,27,82
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,23,66
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,25,60
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,48,126
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,15,28
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,13,48
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,28,76
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,10,34
