LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0,0
BURBANK,0950001A,292,47,N,1270,POLLING PLACE,127,7,84,13
BURBANK,0950001A,292,47,N,0,VBM PORTION,118,9,70,26
BURBANK,0950001A,292,47,N,1270,TOTAL,245,16,154,39
BURBANK,0950005B,293,47,N,1293,POLLING PLACE,88,8,52,17
BURBANK,0950005B,293,47,N,0,VBM PORTION,80,2,53,20
BURBANK,0950005B,293,47,N,1293,TOTAL,168,10,105,37
BURBANK,0950008A,294,47,N,1031,POLLING PLACE,93,3,56,22
BURBANK,0950008A,294,47,N,0,VBM PORTION,117,3,70,22
BURBANK,0950008A,294,47,N,1031,TOTAL,210,6,126,44
BURBANK,0950009A,295,47,N,1345,POLLING PLACE,125,5,69,37
BURBANK,0950009A,295,47,N,0,VBM PORTION,164,7,87,44
BURBANK,0950009A,295,47,N,1345,TOTAL,289,12,156,81
BURBANK,0950011A,296,47,N,459,POLLING PLACE,38,1,22,5
BURBANK,0950011A,296,47,N,0,VBM PORTION,54,3,32,6
BURBANK,0950011A,296,47,N,459,TOTAL,92,4,54,11
BURBANK,0950013B,298,47,N,1191,POLLING PLACE,115,7,48,37
BURBANK,0950013B,298,47,N,0,VBM PORTION,124,4,66,37
BURBANK,0950013B,298,47,N,1191,TOTAL,239,11,114,74
BURBANK,0950015A,299,47,N,1332,POLLING PLACE,47,1,33,10
BURBANK,0950015A,299,47,N,0,VBM PORTION,113,12,82,7
BURBANK,0950015A,299,47,N,1332,TOTAL,160,13,115,17
BURBANK,0950018A,302,47,N,595,POLLING PLACE,15,1,11,2
BURBANK,0950018A,302,47,N,0,VBM PORTION,24,1,19,4
BURBANK,0950018A,302,47,N,595,TOTAL,39,2,30,6
BURBANK,0950019A,303,47,N,1298,POLLING PLACE,70,3,46,16
BURBANK,0950019A,303,47,N,0,VBM PORTION,86,8,56,16
BURBANK,0950019A,303,47,N,1298,TOTAL,156,11,102,32
BURBANK,0950022A,304,47,N,1006,POLLING PLACE,56,7,24,18
BURBANK,0950022A,304,47,N,0,VBM PORTION,58,6,28,13
BURBANK,0950022A,304,47,N,1006,TOTAL,114,13,52,31
BURBANK,0950024C,305,47,N,1291,POLLING PLACE,133,3,89,28
