LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
AVOCADO HEIGHTS,0520001A,129,123,N,1083,POLLING PLACE,80,19,54
AVOCADO HEIGHTS,0520001A,129,123,N,0,VBM PORTION,75,18,49
AVOCADO HEIGHTS,0520001A,129,123,N,1083,TOTAL,155,37,103
AVOCADO HEIGHTS,0520002A,130,123,N,709,POLLING PLACE,51,10,36
AVOCADO HEIGHTS,0520002A,130,123,N,0,VBM PORTION,20,7,12
AVOCADO HEIGHTS,0520002A,130,123,N,709,TOTAL,71,17,48
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,POLLING PLACE,0,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,VBM PORTION,0,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,TOTAL,0,0,0
AVOCADO HEIGHTS,0520005B,132,123,N,788,POLLING PLACE,55,17,35
AVOCADO HEIGHTS,0520005B,132,123,N,0,VBM PORTION,25,7,18
AVOCADO HEIGHTS,0520005B,132,123,N,788,TOTAL,80,24,53
AVOCADO HEIGHTS,0520008A,134,123,N,866,POLLING PLACE,67,15,41
AVOCADO HEIGHTS,0520008A,134,123,N,0,VBM PORTION,30,10,19
AVOCADO HEIGHTS,0520008A,134,123,N,866,TOTAL,97,25,60
AVOCADO HEIGHTS,0520009A,135,123,N,759,POLLING PLACE,63,27,25
AVOCADO HEIGHTS,0520009A,135,123,N,0,VBM PORTION,55,13,38
AVOCADO HEIGHTS,0520009A,135,123,N,759,TOTAL,118,40,63
AVOCADO HEIGHTS,0520010A,136,123,N,757,POLLING PLACE,50,10,34
AVOCADO HEIGHTS,0520010A,136,123,N,0,VBM PORTION,44,10,33
AVOCADO HEIGHTS,0520010A,136,123,N,757,TOTAL,94,20,67
AVOCADO HEIGHTS,0520012A,137,123,N,484,POLLING PLACE,48,16,25
AVOCADO HEIGHTS,0520012A,137,123,N,0,VBM PORTION,30,11,19
AVOCADO HEIGHTS,0520012A,137,123,N,484,TOTAL,78,27,44
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,POLLING PLACE,0,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,VBM PORTION,0,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,TOTAL,0,0,0
AVOCADO HEIGHTS,0520017A,138,123,N,582,POLLING PLACE,21,7,12
AVOCADO HEIGHTS,0520017A,138,123,N,0,VBM PORTION,19,10,9
AVOCADO HEIGHTS,0520017A,138,123,N,582,TOTAL,40,17,21
AZUSA,0550001A,139,66,N,624,POLLING PLACE,26,9,17
AZUSA,0550001A,139,66,N,0,VBM PORTION,22,6,15
AZUSA,0550001A,139,66,N,624,TOTAL,48,15,32
AZUSA,0550002A,140,66,N,790,POLLING PLACE,56,20,31
AZUSA,0550002A,140,66,N,0,VBM PORTION,32,6,24
AZUSA,0550002A,140,66,N,790,TOTAL,88,26,55
AZUSA,0550008A,141,66,N,1080,POLLING PLACE,95,22,60
AZUSA,0550008A,141,66,N,0,VBM PORTION,52,14,34
AZUSA,0550008A,141,66,N,1080,TOTAL,147,36,94
AZUSA,0550009A,142,66,N,1205,POLLING PLACE,88,23,56
AZUSA,0550009A,142,66,N,0,VBM PORTION,58,16,37
AZUSA,0550009A,142,66,N,1205,TOTAL,146,39,93
AZUSA,0550010B,143,66,N,818,POLLING PLACE,27,5,18
AZUSA,0550010B,143,66,N,0,VBM PORTION,25,13,10
AZUSA,0550010B,143,66,N,818,TOTAL,52,18,28
AZUSA,0550011A,144,66,N,796,POLLING PLACE,57,19,34
AZUSA,0550011A,144,66,N,0,VBM PORTION,99,43,49
AZUSA,0550011A,144,66,N,796,TOTAL,156,62,83
AZUSA,0550012A,145,66,N,630,POLLING PLACE,35,9,20
