LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY VIEYRA,NORMA J TORRES,SCOTT HEYDENFELDT,CHRISTINA GAGNIER
POMONA,5250001A,2089,94,N,949,POLLING PLACE,79,5,39,4,8
POMONA,5250001A,2089,94,N,0,VBM PORTION,62,4,34,4,9
POMONA,5250001A,2089,94,N,949,TOTAL,141,9,73,8,17
POMONA,5250003A,2090,94,N,1531,POLLING PLACE,116,3,76,9,10
POMONA,5250003A,2090,94,N,0,VBM PORTION,221,13,141,12,15
POMONA,5250003A,2090,94,N,1531,TOTAL,337,16,217,21,25
POMONA,5250004A,2091,94,N,1116,POLLING PLACE,56,5,43,1,2
POMONA,5250004A,2091,94,N,0,VBM PORTION,34,1,22,1,3
POMONA,5250004A,2091,94,N,1116,TOTAL,90,6,65,2,5
POMONA,5250005B,2092,94,N,1009,POLLING PLACE,83,4,52,6,7
POMONA,5250005B,2092,94,N,0,VBM PORTION,80,3,52,1,10
POMONA,5250005B,2092,94,N,1009,TOTAL,163,7,104,7,17
POMONA,5250006A,2093,94,N,483,POLLING PLACE,19,3,10,2,0
POMONA,5250006A,2093,94,N,0,VBM PORTION,21,0,18,1,1
POMONA,5250006A,2093,94,N,483,TOTAL,40,3,28,3,1
POMONA,5250008A,2094,94,N,679,POLLING PLACE,31,0,18,7,1
POMONA,5250008A,2094,94,N,0,VBM PORTION,27,1,19,2,4
POMONA,5250008A,2094,94,N,679,TOTAL,58,1,37,9,5
POMONA,5250008B,2095,94,N,1205,POLLING PLACE,74,3,44,4,16
POMONA,5250008B,2095,94,N,0,VBM PORTION,61,2,44,3,6
POMONA,5250008B,2095,94,N,1205,TOTAL,135,5,88,7,22
POMONA,5250009B,2096,94,N,615,POLLING PLACE,48,2,29,2,10
POMONA,5250009B,2096,94,N,0,VBM PORTION,9,0,7,1,1
POMONA,5250009B,2096,94,N,615,TOTAL,57,2,36,3,11
