LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
BEVERLY HILLS,0900014A,6017,85,Y,2,POLLING PLACE,0,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,0,VBM PORTION,0,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,2,TOTAL,0,0,0,0
CENTINELA,1060001A,6026,157,Y,139,POLLING PLACE,0,0,0,0
CENTINELA,1060001A,6026,157,Y,0,VBM PORTION,35,20,12,2
CENTINELA,1060001A,6026,157,Y,139,TOTAL,35,20,12,2
CULVER CITY,1600001A,588,115,N,960,POLLING PLACE,85,61,11,3
CULVER CITY,1600001A,588,115,N,0,VBM PORTION,78,56,8,6
CULVER CITY,1600001A,588,115,N,960,TOTAL,163,117,19,9
CULVER CITY,1600001B,6037,116,Y,0,POLLING PLACE,0,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,VBM PORTION,0,0,0,0
CULVER CITY,1600001B,6037,116,Y,0,TOTAL,0,0,0,0
CULVER CITY,1600002A,589,115,N,782,POLLING PLACE,79,47,17,8
CULVER CITY,1600002A,589,115,N,0,VBM PORTION,62,38,14,7
CULVER CITY,1600002A,589,115,N,782,TOTAL,141,85,31,15
CULVER CITY,1600003A,590,115,N,1057,POLLING PLACE,138,92,23,10
CULVER CITY,1600003A,590,115,N,0,VBM PORTION,105,75,15,4
CULVER CITY,1600003A,590,115,N,1057,TOTAL,243,167,38,14
CULVER CITY,1600004A,591,115,N,1147,POLLING PLACE,122,74,28,5
CULVER CITY,1600004A,591,115,N,0,VBM PORTION,112,84,16,7
CULVER CITY,1600004A,591,115,N,1147,TOTAL,234,158,44,12
CULVER CITY,1600004D,6038,116,Y,0,POLLING PLACE,0,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,VBM PORTION,0,0,0,0
CULVER CITY,1600004D,6038,116,Y,0,TOTAL,0,0,0,0
CULVER CITY,1600005A,592,115,N,940,POLLING PLACE,105,73,14,9
CULVER CITY,1600005A,592,115,N,0,VBM PORTION,91,70,7,5
CULVER CITY,1600005A,592,115,N,940,TOTAL,196,143,21,14
CULVER CITY,1600007A,593,115,N,1313,POLLING PLACE,213,136,43,12
CULVER CITY,1600007A,593,115,N,0,VBM PORTION,179,124,32,7
CULVER CITY,1600007A,593,115,N,1313,TOTAL,392,260,75,19
CULVER CITY,1600008A,594,115,N,1204,POLLING PLACE,303,199,44,22
CULVER CITY,1600008A,594,115,N,0,VBM PORTION,160,95,36,11
CULVER CITY,1600008A,594,115,N,1204,TOTAL,463,294,80,33
CULVER CITY,1600011A,595,115,N,1263,POLLING PLACE,128,94,22,3
CULVER CITY,1600011A,595,115,N,0,VBM PORTION,170,97,42,12
CULVER CITY,1600011A,595,115,N,1263,TOTAL,298,191,64,15
