LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,56
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,38
ALTADENA,0200001A,63,33,N,500,TOTAL,118,94
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,41
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,62
ALTADENA,0200002A,64,33,N,692,TOTAL,152,103
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,71
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,59
ALTADENA,0200003A,65,33,N,854,TOTAL,161,130
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,94
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,101
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,195
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,78
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,81
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,159
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,58
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,44
ALTADENA,0200008A,68,33,N,873,TOTAL,135,102
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,76
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,49
ALTADENA,0200009A,69,33,N,969,TOTAL,151,125
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,59
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,84
ALTADENA,0200011A,70,33,N,860,TOTAL,178,143
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,68
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,64
ALTADENA,0200012A,71,33,N,819,TOTAL,194,132
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,49
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,36
ALTADENA,0200013A,72,33,N,931,TOTAL,109,85
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,75
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,79
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,154
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,44
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,48
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,92
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,46
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,35
ALTADENA,0200018A,75,33,N,852,TOTAL,93,81
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,41
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,17
ALTADENA,0200019B,76,33,N,872,TOTAL,81,58
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,86
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,83
ALTADENA,0200022A,77,33,N,866,TOTAL,243,169
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,75
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,40
ALTADENA,0200025B,78,33,N,915,TOTAL,136,115
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,151
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,144
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,295
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,72
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,83
ALTADENA,0200030A,80,33,N,889,TOTAL,261,155
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,133
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,97
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,230
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,123
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,89
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,212
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,94
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,76
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,170
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,53
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,43
ALTADENA,0200044A,84,33,N,985,TOTAL,136,96
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,100
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,102
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,202
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,129
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,116
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,245
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,6
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,6
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,67
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,44
ALTADENA,0200087A,87,33,N,703,TOTAL,153,111
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,111
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,115
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,226
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,108
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,81
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,189
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,145
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,93
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,238
CITRUS,1250071A,6030,33,Y,4,POLLING PLACE,0,0
CITRUS,1250071A,6030,33,Y,0,VBM PORTION,0,0
CITRUS,1250071A,6030,33,Y,4,TOTAL,0,0
CITRUS,1250075A,6032,29,Y,13,POLLING PLACE,0,0
CITRUS,1250075A,6032,29,Y,0,VBM PORTION,5,3
CITRUS,1250075A,6032,29,Y,13,TOTAL,5,3
CLAREMONT,1300001A,480,31,N,894,POLLING PLACE,69,51
CLAREMONT,1300001A,480,31,N,0,VBM PORTION,90,62
CLAREMONT,1300001A,480,31,N,894,TOTAL,159,113
CLAREMONT,1300002A,481,31,N,737,POLLING PLACE,89,64
