LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUSAN SHELLEY,MATT DABABNEH
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,5,2
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,5,2
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,26,17
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,50,33
AGOURA,0070008B,9,56,N,846,TOTAL,143,76,50
CALABASAS,1000001E,347,58,N,1263,POLLING PLACE,69,25,23
CALABASAS,1000001E,347,58,N,0,VBM PORTION,134,64,57
CALABASAS,1000001E,347,58,N,1263,TOTAL,203,89,80
CALABASAS,1000006A,348,58,N,1503,POLLING PLACE,137,44,60
CALABASAS,1000006A,348,58,N,0,VBM PORTION,272,101,138
CALABASAS,1000006A,348,58,N,1503,TOTAL,409,145,198
CALABASAS,1000007A,349,58,N,1306,POLLING PLACE,114,39,48
CALABASAS,1000007A,349,58,N,0,VBM PORTION,107,54,37
CALABASAS,1000007A,349,58,N,1306,TOTAL,221,93,85
CALABASAS,1000008A,350,58,N,1163,POLLING PLACE,120,40,60
CALABASAS,1000008A,350,58,N,0,VBM PORTION,175,71,82
CALABASAS,1000008A,350,58,N,1163,TOTAL,295,111,142
CALABASAS,1000009A,351,58,N,573,POLLING PLACE,70,35,25
CALABASAS,1000009A,351,58,N,0,VBM PORTION,65,34,22
CALABASAS,1000009A,351,58,N,573,TOTAL,135,69,47
CALABASAS,1000010A,352,58,N,813,POLLING PLACE,90,42,37
CALABASAS,1000010A,352,58,N,0,VBM PORTION,118,55,49
CALABASAS,1000010A,352,58,N,813,TOTAL,208,97,86
CALABASAS,1000011A,353,58,N,592,POLLING PLACE,71,29,28
CALABASAS,1000011A,353,58,N,0,VBM PORTION,43,15,21
CALABASAS,1000011A,353,58,N,592,TOTAL,114,44,49
CALABASAS,1000012A,354,58,N,930,POLLING PLACE,79,22,34
CALABASAS,1000012A,354,58,N,0,VBM PORTION,100,39,46
CALABASAS,1000012A,354,58,N,930,TOTAL,179,61,80
CALABASAS,1000013A,355,58,N,1187,POLLING PLACE,105,35,39
CALABASAS,1000013A,355,58,N,0,VBM PORTION,93,42,36
CALABASAS,1000013A,355,58,N,1187,TOTAL,198,77,75
CALABASAS,1000016A,356,58,N,1218,POLLING PLACE,156,44,83
CALABASAS,1000016A,356,58,N,0,VBM PORTION,202,66,113
CALABASAS,1000016A,356,58,N,1218,TOTAL,358,110,196
CALABASAS,1000033A,357,58,N,1036,POLLING PLACE,92,42,31
CALABASAS,1000033A,357,58,N,0,VBM PORTION,115,44,59
CALABASAS,1000033A,357,58,N,1036,TOTAL,207,86,90
CALABASAS,1000075A,358,58,N,937,POLLING PLACE,104,36,46
CALABASAS,1000075A,358,58,N,0,VBM PORTION,115,57,42
CALABASAS,1000075A,358,58,N,937,TOTAL,219,93,88
CALABASAS,1000076A,359,58,N,1287,POLLING PLACE,141,49,44
CALABASAS,1000076A,359,58,N,0,VBM PORTION,194,86,85
CALABASAS,1000076A,359,58,N,1287,TOTAL,335,135,129
CALABASAS,1000077A,360,58,N,929,POLLING PLACE,107,32,50
CALABASAS,1000077A,360,58,N,0,VBM PORTION,100,36,48
CALABASAS,1000077A,360,58,N,929,TOTAL,207,68,98
CHATSWORTH,1150002A,478,57,N,472,POLLING PLACE,51,26,22
CHATSWORTH,1150002A,478,57,N,0,VBM PORTION,36,19,17
CHATSWORTH,1150002A,478,57,N,472,TOTAL,87,45,39
CHATSWORTH,1150004A,6028,55,Y,2,POLLING PLACE,0,0,0
CHATSWORTH,1150004A,6028,55,Y,0,VBM PORTION,2,0,0
CHATSWORTH,1150004A,6028,55,Y,2,TOTAL,2,0,0
CHATSWORTH,1150012A,479,57,N,606,POLLING PLACE,81,46,34
CHATSWORTH,1150012A,479,57,N,0,VBM PORTION,48,30,14
CHATSWORTH,1150012A,479,57,N,606,TOTAL,129,76,48
HIDDEN HILLS,2780001A,1089,56,N,610,POLLING PLACE,60,35,22
HIDDEN HILLS,2780001A,1089,56,N,0,VBM PORTION,63,39,21
HIDDEN HILLS,2780001A,1089,56,N,610,TOTAL,123,74,43
HIDDEN HILLS,2780002A,1090,56,N,726,POLLING PLACE,86,48,29
HIDDEN HILLS,2780002A,1090,56,N,0,VBM PORTION,59,41,16
HIDDEN HILLS,2780002A,1090,56,N,726,TOTAL,145,89,45
WEST HILLS,7760001A,2900,56,N,525,POLLING PLACE,66,31,30
WEST HILLS,7760001A,2900,56,N,0,VBM PORTION,83,37,40
WEST HILLS,7760001A,2900,56,N,525,TOTAL,149,68,70
LOS ANGELES,9000025A,2985,57,N,1392,POLLING PLACE,103,47,50
LOS ANGELES,9000025A,2985,57,N,0,VBM PORTION,124,46,63
LOS ANGELES,9000025A,2985,57,N,1392,TOTAL,227,93,113
LOS ANGELES,9000028A,2987,57,N,1196,POLLING PLACE,99,45,46
LOS ANGELES,9000028A,2987,57,N,0,VBM PORTION,84,31,41
LOS ANGELES,9000028A,2987,57,N,1196,TOTAL,183,76,87
LOS ANGELES,9000030A,2989,57,N,986,POLLING PLACE,137,65,64
LOS ANGELES,9000030A,2989,57,N,0,VBM PORTION,107,62,36
LOS ANGELES,9000030A,2989,57,N,986,TOTAL,244,127,100
LOS ANGELES,9000031A,2990,57,N,1114,POLLING PLACE,122,66,48
LOS ANGELES,9000031A,2990,57,N,0,VBM PORTION,107,42,55
LOS ANGELES,9000031A,2990,57,N,1114,TOTAL,229,108,103
LOS ANGELES,9000033A,2991,57,N,903,POLLING PLACE,121,56,61
LOS ANGELES,9000033A,2991,57,N,0,VBM PORTION,115,52,46
LOS ANGELES,9000033A,2991,57,N,903,TOTAL,236,108,107
LOS ANGELES,9000034B,2992,57,N,1029,POLLING PLACE,103,50,43
LOS ANGELES,9000034B,2992,57,N,0,VBM PORTION,123,63,38
LOS ANGELES,9000034B,2992,57,N,1029,TOTAL,226,113,81
LOS ANGELES,9000062A,3006,54,N,1100,POLLING PLACE,64,23,33
LOS ANGELES,9000062A,3006,54,N,0,VBM PORTION,73,15,50
LOS ANGELES,9000062A,3006,54,N,1100,TOTAL,137,38,83
LOS ANGELES,9000063B,3007,54,N,1135,POLLING PLACE,63,18,38
LOS ANGELES,9000063B,3007,54,N,0,VBM PORTION,79,29,38
LOS ANGELES,9000063B,3007,54,N,1135,TOTAL,142,47,76
LOS ANGELES,9000064A,3008,56,N,1358,POLLING PLACE,84,32,46
LOS ANGELES,9000064A,3008,56,N,0,VBM PORTION,83,36,41
LOS ANGELES,9000064A,3008,56,N,1358,TOTAL,167,68,87
LOS ANGELES,9000065A,3009,54,N,1076,POLLING PLACE,116,50,60
LOS ANGELES,9000065A,3009,54,N,0,VBM PORTION,95,29,53
LOS ANGELES,9000065A,3009,54,N,1076,TOTAL,211,79,113
LOS ANGELES,9000071A,3013,56,N,1235,POLLING PLACE,100,48,47
LOS ANGELES,9000071A,3013,56,N,0,VBM PORTION,95,33,42
LOS ANGELES,9000071A,3013,56,N,1235,TOTAL,195,81,89
LOS ANGELES,9000084A,3025,57,N,1144,POLLING PLACE,125,60,56
LOS ANGELES,9000084A,3025,57,N,0,VBM PORTION,114,56,42
