LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
BELVEDERE,0850001A,253,90,N,886,POLLING PLACE,69,57
BELVEDERE,0850001A,253,90,N,0,VBM PORTION,32,28
BELVEDERE,0850001A,253,90,N,886,TOTAL,101,85
BELVEDERE,0850004A,254,91,N,1005,POLLING PLACE,53,50
BELVEDERE,0850004A,254,91,N,0,VBM PORTION,35,33
BELVEDERE,0850004A,254,91,N,1005,TOTAL,88,83
BELVEDERE,0850005A,255,90,N,992,POLLING PLACE,110,87
BELVEDERE,0850005A,255,90,N,0,VBM PORTION,36,32
BELVEDERE,0850005A,255,90,N,992,TOTAL,146,119
BELVEDERE,0850006A,256,91,N,940,POLLING PLACE,100,76
BELVEDERE,0850006A,256,91,N,0,VBM PORTION,27,25
BELVEDERE,0850006A,256,91,N,940,TOTAL,127,101
BELVEDERE,0850007A,257,90,N,1085,POLLING PLACE,69,60
BELVEDERE,0850007A,257,90,N,0,VBM PORTION,39,33
BELVEDERE,0850007A,257,90,N,1085,TOTAL,108,93
BELVEDERE,0850009A,258,90,N,972,POLLING PLACE,55,45
BELVEDERE,0850009A,258,90,N,0,VBM PORTION,28,24
BELVEDERE,0850009A,258,90,N,972,TOTAL,83,69
BELVEDERE,0850011B,259,91,N,853,POLLING PLACE,73,60
BELVEDERE,0850011B,259,91,N,0,VBM PORTION,37,34
BELVEDERE,0850011B,259,91,N,853,TOTAL,110,94
BELVEDERE,0850012C,260,90,N,818,POLLING PLACE,79,51
BELVEDERE,0850012C,260,90,N,0,VBM PORTION,34,30
BELVEDERE,0850012C,260,90,N,818,TOTAL,113,81
BELVEDERE,0850013A,261,91,N,1003,POLLING PLACE,87,67
BELVEDERE,0850013A,261,91,N,0,VBM PORTION,50,38
BELVEDERE,0850013A,261,91,N,1003,TOTAL,137,105
BELVEDERE,0850014A,262,90,N,868,POLLING PLACE,60,55
BELVEDERE,0850014A,262,90,N,0,VBM PORTION,32,26
BELVEDERE,0850014A,262,90,N,868,TOTAL,92,81
BELVEDERE,0850015B,263,90,N,983,POLLING PLACE,55,41
BELVEDERE,0850015B,263,90,N,0,VBM PORTION,28,21
BELVEDERE,0850015B,263,90,N,983,TOTAL,83,62
BELVEDERE,0850016A,264,90,N,819,POLLING PLACE,57,44
BELVEDERE,0850016A,264,90,N,0,VBM PORTION,32,29
BELVEDERE,0850016A,264,90,N,819,TOTAL,89,73
BELVEDERE,0850017A,265,90,N,1077,POLLING PLACE,78,60
BELVEDERE,0850017A,265,90,N,0,VBM PORTION,52,36
BELVEDERE,0850017A,265,90,N,1077,TOTAL,130,96
BELVEDERE,0850052A,266,91,N,1064,POLLING PLACE,77,71
BELVEDERE,0850052A,266,91,N,0,VBM PORTION,46,40
BELVEDERE,0850052A,266,91,N,1064,TOTAL,123,111
BELVEDERE,0850056A,267,91,N,829,POLLING PLACE,80,59
BELVEDERE,0850056A,267,91,N,0,VBM PORTION,29,23
BELVEDERE,0850056A,267,91,N,829,TOTAL,109,82
BELVEDERE,0850058A,268,91,N,1195,POLLING PLACE,109,78
BELVEDERE,0850058A,268,91,N,0,VBM PORTION,42,36
BELVEDERE,0850058A,268,91,N,1195,TOTAL,151,114
BELVEDERE,0850061A,269,90,N,1102,POLLING PLACE,71,57
BELVEDERE,0850061A,269,90,N,0,VBM PORTION,55,41
BELVEDERE,0850061A,269,90,N,1102,TOTAL,126,98
EAST LOS ANGELES,2000001A,746,91,N,869,POLLING PLACE,55,47
EAST LOS ANGELES,2000001A,746,91,N,0,VBM PORTION,25,23
EAST LOS ANGELES,2000001A,746,91,N,869,TOTAL,80,70
EAST LOS ANGELES,2000002A,747,91,N,1134,POLLING PLACE,73,59
EAST LOS ANGELES,2000002A,747,91,N,0,VBM PORTION,40,34
EAST LOS ANGELES,2000002A,747,91,N,1134,TOTAL,113,93
EAST LOS ANGELES,2000003A,748,91,N,1218,POLLING PLACE,111,95
EAST LOS ANGELES,2000003A,748,91,N,0,VBM PORTION,53,51
EAST LOS ANGELES,2000003A,748,91,N,1218,TOTAL,164,146
EAST LOS ANGELES,2000005A,749,91,N,904,POLLING PLACE,94,80
EAST LOS ANGELES,2000005A,749,91,N,0,VBM PORTION,17,16
EAST LOS ANGELES,2000005A,749,91,N,904,TOTAL,111,96
EAST LOS ANGELES,2000007A,750,91,N,468,POLLING PLACE,19,18
EAST LOS ANGELES,2000007A,750,91,N,0,VBM PORTION,11,9
EAST LOS ANGELES,2000007A,750,91,N,468,TOTAL,30,27
EAST LOS ANGELES,2000011A,751,91,N,1167,POLLING PLACE,83,73
EAST LOS ANGELES,2000011A,751,91,N,0,VBM PORTION,45,39
EAST LOS ANGELES,2000011A,751,91,N,1167,TOTAL,128,112
EAST LOS ANGELES,2000013A,752,91,N,883,POLLING PLACE,51,38
EAST LOS ANGELES,2000013A,752,91,N,0,VBM PORTION,24,23
EAST LOS ANGELES,2000013A,752,91,N,883,TOTAL,75,61
EAST LOS ANGELES,2000018C,753,91,N,1195,POLLING PLACE,87,76
EAST LOS ANGELES,2000018C,753,91,N,0,VBM PORTION,35,31
EAST LOS ANGELES,2000018C,753,91,N,1195,TOTAL,122,107
EAST LOS ANGELES,2000024A,754,91,N,910,POLLING PLACE,87,70
EAST LOS ANGELES,2000024A,754,91,N,0,VBM PORTION,27,21
EAST LOS ANGELES,2000024A,754,91,N,910,TOTAL,114,91
EAST LOS ANGELES,2000025A,755,91,N,1083,POLLING PLACE,60,45
EAST LOS ANGELES,2000025A,755,91,N,0,VBM PORTION,26,25
EAST LOS ANGELES,2000025A,755,91,N,1083,TOTAL,86,70
EAST LOS ANGELES,2000028A,756,91,N,1098,POLLING PLACE,75,60
EAST LOS ANGELES,2000028A,756,91,N,0,VBM PORTION,43,37
EAST LOS ANGELES,2000028A,756,91,N,1098,TOTAL,118,97
EAST LOS ANGELES,2000028B,757,91,N,1082,POLLING PLACE,79,67
