LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,8,2,5,1,11,6,1,0
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,8,3,2,0,12,7,0,2
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,16,5,7,1,23,13,1,2
CENTINELA,1060001A,6026,157,Y,139,POLLING PLACE,0,0,0,0,0,0,0,0,0
CENTINELA,1060001A,6026,157,Y,0,VBM PORTION,35,7,1,1,5,8,5,0,0
CENTINELA,1060001A,6026,157,Y,139,TOTAL,35,7,1,1,5,8,5,0,0
CENTINELA,1060002A,6027,158,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
CENTINELA,1060002A,6027,158,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
CENTINELA,1060002A,6027,158,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
DEL AIRE,1680001A,613,162,N,889,POLLING PLACE,81,19,5,16,1,24,8,2,0
DEL AIRE,1680001A,613,162,N,0,VBM PORTION,58,6,4,9,2,17,12,3,2
DEL AIRE,1680001A,613,162,N,889,TOTAL,139,25,9,25,3,41,20,5,2
DEL AIRE,1680002B,614,162,N,1004,POLLING PLACE,121,21,5,9,0,45,26,2,2
DEL AIRE,1680002B,614,162,N,0,VBM PORTION,90,16,0,8,2,39,8,5,1
DEL AIRE,1680002B,614,162,N,1004,TOTAL,211,37,5,17,2,84,34,7,3
DEL AIRE,1680003A,615,162,N,917,POLLING PLACE,69,22,2,7,0,31,2,2,1
DEL AIRE,1680003A,615,162,N,0,VBM PORTION,78,16,3,5,2,28,9,3,3
DEL AIRE,1680003A,615,162,N,917,TOTAL,147,38,5,12,2,59,11,5,4
DEL AIRE,1680004A,616,162,N,807,POLLING PLACE,81,22,2,6,2,28,7,3,2
DEL AIRE,1680004A,616,162,N,0,VBM PORTION,59,13,0,0,2,28,7,2,0
DEL AIRE,1680004A,616,162,N,807,TOTAL,140,35,2,6,4,56,14,5,2
DEL AIRE,1680005A,617,162,N,432,POLLING PLACE,34,12,1,0,0,9,7,0,1
DEL AIRE,1680005A,617,162,N,0,VBM PORTION,32,8,0,1,0,19,0,1,0
DEL AIRE,1680005A,617,162,N,432,TOTAL,66,20,1,1,0,28,7,1,1
DEL AIRE,1680006C,618,162,N,673,POLLING PLACE,55,15,0,5,1,21,9,0,0
