LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY RENDON,ADAM J MILLER
BELL,0700001A,195,164,N,1018,POLLING PLACE,63,46,7
BELL,0700001A,195,164,N,0,VBM PORTION,30,22,5
BELL,0700001A,195,164,N,1018,TOTAL,93,68,12
BELL,0700002A,196,164,N,1028,POLLING PLACE,56,40,7
BELL,0700002A,196,164,N,0,VBM PORTION,21,13,6
BELL,0700002A,196,164,N,1028,TOTAL,77,53,13
BELL,0700005A,197,164,N,1201,POLLING PLACE,50,35,12
BELL,0700005A,197,164,N,0,VBM PORTION,42,31,7
BELL,0700005A,197,164,N,1201,TOTAL,92,66,19
BELL,0700007B,198,164,N,1209,POLLING PLACE,77,57,7
BELL,0700007B,198,164,N,0,VBM PORTION,44,32,9
BELL,0700007B,198,164,N,1209,TOTAL,121,89,16
BELL,0700008A,199,164,N,1154,POLLING PLACE,70,46,14
BELL,0700008A,199,164,N,0,VBM PORTION,27,13,12
BELL,0700008A,199,164,N,1154,TOTAL,97,59,26
BELL,0700010A,200,164,N,1237,POLLING PLACE,71,46,11
BELL,0700010A,200,164,N,0,VBM PORTION,42,29,11
BELL,0700010A,200,164,N,1237,TOTAL,113,75,22
BELL,0700011A,201,164,N,1221,POLLING PLACE,59,42,10
BELL,0700011A,201,164,N,0,VBM PORTION,41,24,15
BELL,0700011A,201,164,N,1221,TOTAL,100,66,25
BELL,0700013A,202,164,N,1063,POLLING PLACE,62,37,11
BELL,0700013A,202,164,N,0,VBM PORTION,52,30,14
BELL,0700013A,202,164,N,1063,TOTAL,114,67,25
BELL,0700017A,203,164,N,946,POLLING PLACE,46,28,6
BELL,0700017A,203,164,N,0,VBM PORTION,20,11,6
BELL,0700017A,203,164,N,946,TOTAL,66,39,12
BELL,0700018A,204,164,N,1098,POLLING PLACE,64,41,4
BELL,0700018A,204,164,N,0,VBM PORTION,28,18,7
BELL,0700018A,204,164,N,1098,TOTAL,92,59,11
CUDAHY,1550001A,582,164,N,1039,POLLING PLACE,61,41,10
CUDAHY,1550001A,582,164,N,0,VBM PORTION,33,25,6
CUDAHY,1550001A,582,164,N,1039,TOTAL,94,66,16
CUDAHY,1550005A,583,164,N,1162,POLLING PLACE,60,39,13
CUDAHY,1550005A,583,164,N,0,VBM PORTION,19,15,2
CUDAHY,1550005A,583,164,N,1162,TOTAL,79,54,15
CUDAHY,1550006A,584,164,N,1163,POLLING PLACE,62,32,11
CUDAHY,1550006A,584,164,N,0,VBM PORTION,20,17,0
CUDAHY,1550006A,584,164,N,1163,TOTAL,82,49,11
CUDAHY,1550009A,585,164,N,990,POLLING PLACE,55,42,4
CUDAHY,1550009A,585,164,N,0,VBM PORTION,29,21,3
CUDAHY,1550009A,585,164,N,990,TOTAL,84,63,7
CUDAHY,1550010A,586,164,N,1043,POLLING PLACE,59,41,7
CUDAHY,1550010A,586,164,N,0,VBM PORTION,24,17,6
CUDAHY,1550010A,586,164,N,1043,TOTAL,83,58,13
CUDAHY,1550020A,587,164,N,1300,POLLING PLACE,79,62,4
CUDAHY,1550020A,587,164,N,0,VBM PORTION,37,23,7
CUDAHY,1550020A,587,164,N,1300,TOTAL,116,85,11
EAST COMPTON,1960030A,6045,171,Y,0,POLLING PLACE,0,0,0
EAST COMPTON,1960030A,6045,171,Y,0,VBM PORTION,0,0,0
EAST COMPTON,1960030A,6045,171,Y,0,TOTAL,0,0,0
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,POLLING PLACE,72,43,25
HAWAIIAN GARDENS,2650001A,1039,166,N,0,VBM PORTION,114,67,32
HAWAIIAN GARDENS,2650001A,1039,166,N,1190,TOTAL,186,110,57
HAWAIIAN GARDENS,2650002C,1040,166,N,899,POLLING PLACE,59,32,24
HAWAIIAN GARDENS,2650002C,1040,166,N,0,VBM PORTION,92,51,25
HAWAIIAN GARDENS,2650002C,1040,166,N,899,TOTAL,151,83,49
HAWAIIAN GARDENS,2650004A,1041,166,N,707,POLLING PLACE,31,16,8
HAWAIIAN GARDENS,2650004A,1041,166,N,0,VBM PORTION,19,5,12
HAWAIIAN GARDENS,2650004A,1041,166,N,707,TOTAL,50,21,20
