LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,SUJA LOWENTHAL
AVALON,0500001A,127,187,N,496,POLLING PLACE,63,16,18,22
AVALON,0500001A,127,187,N,0,VBM PORTION,55,10,23,14
AVALON,0500001A,127,187,N,496,TOTAL,118,26,41,36
AVALON,0500003A,128,187,N,1234,POLLING PLACE,127,27,53,28
AVALON,0500003A,128,187,N,0,VBM PORTION,129,22,67,35
AVALON,0500003A,128,187,N,1234,TOTAL,256,49,120,63
BONNER,0930001A,290,192,N,1023,POLLING PLACE,132,46,56,25
BONNER,0930001A,290,192,N,0,VBM PORTION,112,36,50,15
BONNER,0930001A,290,192,N,1023,TOTAL,244,82,106,40
LA RAMBLA,3350001A,1235,190,N,1042,POLLING PLACE,83,22,23,26
LA RAMBLA,3350001A,1235,190,N,0,VBM PORTION,68,30,24,10
LA RAMBLA,3350001A,1235,190,N,1042,TOTAL,151,52,47,36
LONG BEACH,3850002A,6092,192,Y,3,POLLING PLACE,0,0,0,0
LONG BEACH,3850002A,6092,192,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850002A,6092,192,Y,3,TOTAL,0,0,0,0
LONG BEACH,3850003A,1409,192,N,438,POLLING PLACE,11,2,2,5
LONG BEACH,3850003A,1409,192,N,0,VBM PORTION,4,2,1,1
LONG BEACH,3850003A,1409,192,N,438,TOTAL,15,4,3,6
LONG BEACH,3850007A,1412,192,N,1295,POLLING PLACE,108,40,9,44
LONG BEACH,3850007A,1412,192,N,0,VBM PORTION,101,50,14,32
LONG BEACH,3850007A,1412,192,N,1295,TOTAL,209,90,23,76
LONG BEACH,3850010A,1415,192,N,1548,POLLING PLACE,134,60,13,50
LONG BEACH,3850010A,1415,192,N,0,VBM PORTION,76,29,18,26
LONG BEACH,3850010A,1415,192,N,1548,TOTAL,210,89,31,76
LONG BEACH,3850012A,1417,192,N,1552,POLLING PLACE,158,58,32,61
LONG BEACH,3850012A,1417,192,N,0,VBM PORTION,220,70,57,71
LONG BEACH,3850012A,1417,192,N,1552,TOTAL,378,128,89,132
LONG BEACH,3850021A,1423,192,N,1193,POLLING PLACE,75,28,9,27
LONG BEACH,3850021A,1423,192,N,0,VBM PORTION,53,26,11,13
LONG BEACH,3850021A,1423,192,N,1193,TOTAL,128,54,20,40
LONG BEACH,3850025A,1425,192,N,1071,POLLING PLACE,62,32,9,14
LONG BEACH,3850025A,1425,192,N,0,VBM PORTION,70,17,14,35
LONG BEACH,3850025A,1425,192,N,1071,TOTAL,132,49,23,49
LONG BEACH,3850030A,1428,192,N,1067,POLLING PLACE,94,39,12,36
LONG BEACH,3850030A,1428,192,N,0,VBM PORTION,63,28,9,21
LONG BEACH,3850030A,1428,192,N,1067,TOTAL,157,67,21,57
LONG BEACH,3850034A,1431,192,N,992,POLLING PLACE,39,17,6,14
LONG BEACH,3850034A,1431,192,N,0,VBM PORTION,30,12,7,9
LONG BEACH,3850034A,1431,192,N,992,TOTAL,69,29,13,23
LONG BEACH,3850036A,1433,192,N,962,POLLING PLACE,104,43,8,47
LONG BEACH,3850036A,1433,192,N,0,VBM PORTION,103,55,16,27
LONG BEACH,3850036A,1433,192,N,962,TOTAL,207,98,24,74
LONG BEACH,3850038A,1435,192,N,971,POLLING PLACE,28,10,6,9
LONG BEACH,3850038A,1435,192,N,0,VBM PORTION,49,17,8,20
LONG BEACH,3850038A,1435,192,N,971,TOTAL,77,27,14,29
LONG BEACH,3850040A,1437,192,N,1221,POLLING PLACE,38,12,10,16
LONG BEACH,3850040A,1437,192,N,0,VBM PORTION,31,13,6,10
LONG BEACH,3850040A,1437,192,N,1221,TOTAL,69,25,16,26
LONG BEACH,3850044D,1440,192,N,1137,POLLING PLACE,259,106,59,75
LONG BEACH,3850044D,1440,192,N,0,VBM PORTION,176,66,64,34
LONG BEACH,3850044D,1440,192,N,1137,TOTAL,435,172,123,109
LONG BEACH,3850045A,6096,192,Y,0,POLLING PLACE,0,0,0,0
LONG BEACH,3850045A,6096,192,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850045A,6096,192,Y,0,TOTAL,0,0,0,0
LONG BEACH,3850045B,1441,192,N,996,POLLING PLACE,122,48,41,29
LONG BEACH,3850045B,1441,192,N,0,VBM PORTION,82,35,15,28
LONG BEACH,3850045B,1441,192,N,996,TOTAL,204,83,56,57
LONG BEACH,3850045C,6097,192,Y,0,POLLING PLACE,0,0,0,0
LONG BEACH,3850045C,6097,192,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850045C,6097,192,Y,0,TOTAL,0,0,0,0
