LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALFONSO SANCHEZ,CONNIE M LEYVA,MATTHEW MUNSON,SHANNON O'BRIEN,SYLVIA ROBLES
FOOTHILL,2350028A,6052,93,Y,149,POLLING PLACE,0,0,0,0,0,0
FOOTHILL,2350028A,6052,93,Y,0,VBM PORTION,25,6,4,7,0,2
FOOTHILL,2350028A,6052,93,Y,149,TOTAL,25,6,4,7,0,2
FOOTHILL,2350029A,6053,93,Y,105,POLLING PLACE,0,0,0,0,0,0
FOOTHILL,2350029A,6053,93,Y,0,VBM PORTION,32,2,7,17,0,3
FOOTHILL,2350029A,6053,93,Y,105,TOTAL,32,2,7,17,0,3
POMONA,5250001A,2089,94,N,949,POLLING PLACE,79,19,22,23,6,1
POMONA,5250001A,2089,94,N,0,VBM PORTION,62,22,11,18,2,1
POMONA,5250001A,2089,94,N,949,TOTAL,141,41,33,41,8,2
POMONA,5250003A,2090,94,N,1531,POLLING PLACE,116,20,51,27,8,3
POMONA,5250003A,2090,94,N,0,VBM PORTION,221,31,73,58,20,8
POMONA,5250003A,2090,94,N,1531,TOTAL,337,51,124,85,28,11
POMONA,5250004A,2091,94,N,1116,POLLING PLACE,56,13,19,4,4,12
POMONA,5250004A,2091,94,N,0,VBM PORTION,34,8,13,5,6,1
POMONA,5250004A,2091,94,N,1116,TOTAL,90,21,32,9,10,13
POMONA,5250005B,2092,94,N,1009,POLLING PLACE,83,16,30,23,8,4
POMONA,5250005B,2092,94,N,0,VBM PORTION,80,16,20,27,8,2
POMONA,5250005B,2092,94,N,1009,TOTAL,163,32,50,50,16,6
POMONA,5250006A,2093,94,N,483,POLLING PLACE,19,6,4,7,0,2
POMONA,5250006A,2093,94,N,0,VBM PORTION,21,6,6,4,3,1
POMONA,5250006A,2093,94,N,483,TOTAL,40,12,10,11,3,3
POMONA,5250008A,2094,94,N,679,POLLING PLACE,31,10,11,5,3,2
POMONA,5250008A,2094,94,N,0,VBM PORTION,27,4,10,0,5,5
POMONA,5250008A,2094,94,N,679,TOTAL,58,14,21,5,8,7
