LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
BELVEDERE,0850001A,253,90,N,886,POLLING PLACE,69,6,9,52
BELVEDERE,0850001A,253,90,N,0,VBM PORTION,32,1,0,29
BELVEDERE,0850001A,253,90,N,886,TOTAL,101,7,9,81
BELVEDERE,0850004A,254,91,N,1005,POLLING PLACE,53,1,2,48
BELVEDERE,0850004A,254,91,N,0,VBM PORTION,35,1,2,31
BELVEDERE,0850004A,254,91,N,1005,TOTAL,88,2,4,79
BELVEDERE,0850005A,255,90,N,992,POLLING PLACE,110,8,13,80
BELVEDERE,0850005A,255,90,N,0,VBM PORTION,36,4,4,28
BELVEDERE,0850005A,255,90,N,992,TOTAL,146,12,17,108
BELVEDERE,0850006A,256,91,N,940,POLLING PLACE,100,12,4,78
BELVEDERE,0850006A,256,91,N,0,VBM PORTION,27,5,1,17
BELVEDERE,0850006A,256,91,N,940,TOTAL,127,17,5,95
BELVEDERE,0850007A,257,90,N,1085,POLLING PLACE,69,8,7,50
BELVEDERE,0850007A,257,90,N,0,VBM PORTION,39,5,4,28
BELVEDERE,0850007A,257,90,N,1085,TOTAL,108,13,11,78
BELVEDERE,0850009A,258,90,N,972,POLLING PLACE,55,3,3,43
BELVEDERE,0850009A,258,90,N,0,VBM PORTION,28,2,5,19
BELVEDERE,0850009A,258,90,N,972,TOTAL,83,5,8,62
BELVEDERE,0850011B,259,91,N,853,POLLING PLACE,73,8,7,49
BELVEDERE,0850011B,259,91,N,0,VBM PORTION,37,4,2,30
BELVEDERE,0850011B,259,91,N,853,TOTAL,110,12,9,79
BELVEDERE,0850012C,260,90,N,818,POLLING PLACE,79,6,2,60
BELVEDERE,0850012C,260,90,N,0,VBM PORTION,34,5,0,26
BELVEDERE,0850012C,260,90,N,818,TOTAL,113,11,2,86
BELVEDERE,0850013A,261,91,N,1003,POLLING PLACE,87,7,10,59
BELVEDERE,0850013A,261,91,N,0,VBM PORTION,50,4,9,33
BELVEDERE,0850013A,261,91,N,1003,TOTAL,137,11,19,92
BELVEDERE,0850014A,262,90,N,868,POLLING PLACE,60,6,5,45
BELVEDERE,0850014A,262,90,N,0,VBM PORTION,32,6,4,22
BELVEDERE,0850014A,262,90,N,868,TOTAL,92,12,9,67
BELVEDERE,0850015B,263,90,N,983,POLLING PLACE,55,8,7,37
BELVEDERE,0850015B,263,90,N,0,VBM PORTION,28,4,4,17
BELVEDERE,0850015B,263,90,N,983,TOTAL,83,12,11,54
BELVEDERE,0850016A,264,90,N,819,POLLING PLACE,57,7,5,43
BELVEDERE,0850016A,264,90,N,0,VBM PORTION,32,3,0,25
BELVEDERE,0850016A,264,90,N,819,TOTAL,89,10,5,68
BELVEDERE,0850017A,265,90,N,1077,POLLING PLACE,78,3,5,56
BELVEDERE,0850017A,265,90,N,0,VBM PORTION,52,12,5,30
BELVEDERE,0850017A,265,90,N,1077,TOTAL,130,15,10,86
BELVEDERE,0850052A,266,91,N,1064,POLLING PLACE,77,5,2,65
BELVEDERE,0850052A,266,91,N,0,VBM PORTION,46,4,7,32
BELVEDERE,0850052A,266,91,N,1064,TOTAL,123,9,9,97
BELVEDERE,0850056A,267,91,N,829,POLLING PLACE,80,9,7,54
BELVEDERE,0850056A,267,91,N,0,VBM PORTION,29,2,5,19
BELVEDERE,0850056A,267,91,N,829,TOTAL,109,11,12,73
BELVEDERE,0850058A,268,91,N,1195,POLLING PLACE,109,9,11,73
BELVEDERE,0850058A,268,91,N,0,VBM PORTION,42,1,2,36
BELVEDERE,0850058A,268,91,N,1195,TOTAL,151,10,13,109
BELVEDERE,0850061A,269,90,N,1102,POLLING PLACE,71,12,5,48
BELVEDERE,0850061A,269,90,N,0,VBM PORTION,55,10,4,36
BELVEDERE,0850061A,269,90,N,1102,TOTAL,126,22,9,84
EAST LOS ANGELES,2000001A,746,91,N,869,POLLING PLACE,55,8,6,36
EAST LOS ANGELES,2000001A,746,91,N,0,VBM PORTION,25,2,3,20
EAST LOS ANGELES,2000001A,746,91,N,869,TOTAL,80,10,9,56
EAST LOS ANGELES,2000002A,747,91,N,1134,POLLING PLACE,73,8,5,53
EAST LOS ANGELES,2000002A,747,91,N,0,VBM PORTION,40,2,1,37
EAST LOS ANGELES,2000002A,747,91,N,1134,TOTAL,113,10,6,90
