LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,2
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,2
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,10
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,10
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,80
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,64
AGOURA,0070004A,7,88,N,1212,TOTAL,312,144
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,93
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,65
AGOURA,0070006A,8,88,N,1201,TOTAL,337,158
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,14
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,31
AGOURA,0070008B,9,56,N,846,TOTAL,143,45
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,63
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,30
AGOURA,0070041A,10,88,N,716,TOTAL,193,93
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,60
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,61
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,121
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,72
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,66
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,138
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,61
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,39
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,100
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,63
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,49
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,112
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,71
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,45
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,116
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,50
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,72
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,122
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,73
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,60
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,133
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,41
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,43
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,84
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,71
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,74
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,145
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,51
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,66
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,117
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,51
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,68
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,119
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,73
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,70
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,143
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,41
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,23
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,64
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,20
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,34
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,54
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,54
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,53
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,107
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,24
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,38
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,62
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,31
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,30
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,61
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,48
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,52
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,100
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,38
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,29
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,67
