LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
ACTON,0050003A,1,3,N,1086,POLLING PLACE,155,34,72,34
ACTON,0050003A,1,3,N,0,VBM PORTION,133,27,58,27
ACTON,0050003A,1,3,N,1086,TOTAL,288,61,130,61
ACTON,0050004A,2,3,N,820,POLLING PLACE,110,25,32,28
ACTON,0050004A,2,3,N,0,VBM PORTION,132,25,55,24
ACTON,0050004A,2,3,N,820,TOTAL,242,50,87,52
ACTON,0050005A,3,3,N,748,POLLING PLACE,122,34,50,23
ACTON,0050005A,3,3,N,0,VBM PORTION,83,13,32,19
ACTON,0050005A,3,3,N,748,TOTAL,205,47,82,42
ACTON,0050014A,4,3,N,488,POLLING PLACE,57,22,19,8
ACTON,0050014A,4,3,N,0,VBM PORTION,57,12,29,6
ACTON,0050014A,4,3,N,488,TOTAL,114,34,48,14
ACTON,0050022A,6001,4,Y,61,POLLING PLACE,0,0,0,0
ACTON,0050022A,6001,4,Y,0,VBM PORTION,22,4,14,1
ACTON,0050022A,6001,4,Y,61,TOTAL,22,4,14,1
ACTON,0050025A,6002,3,Y,3,POLLING PLACE,0,0,0,0
ACTON,0050025A,6002,3,Y,0,VBM PORTION,1,1,0,0
ACTON,0050025A,6002,3,Y,3,TOTAL,1,1,0,0
ACTON,0050026A,6003,5,Y,0,POLLING PLACE,0,0,0,0
ACTON,0050026A,6003,5,Y,0,VBM PORTION,0,0,0,0
ACTON,0050026A,6003,5,Y,0,TOTAL,0,0,0,0
ACTON,0050052A,6004,38,Y,0,POLLING PLACE,0,0,0,0
ACTON,0050052A,6004,38,Y,0,VBM PORTION,1,0,0,0
ACTON,0050052A,6004,38,Y,0,TOTAL,1,0,0,0
ACTON,0050059A,5,3,N,1211,POLLING PLACE,150,46,55,30
ACTON,0050059A,5,3,N,0,VBM PORTION,122,23,53,34
ACTON,0050059A,5,3,N,1211,TOTAL,272,69,108,64
ACTON,0050061A,6,3,N,1159,POLLING PLACE,153,43,58,35
ACTON,0050061A,6,3,N,0,VBM PORTION,155,50,56,27
ACTON,0050061A,6,3,N,1159,TOTAL,308,93,114,62
AGOURA,0070001B,6005,56,Y,66,POLLING PLACE,0,0,0,0
AGOURA,0070001B,6005,56,Y,0,VBM PORTION,7,0,3,1
AGOURA,0070001B,6005,56,Y,66,TOTAL,7,0,3,1
AGOURA,0070002A,6006,88,Y,102,POLLING PLACE,0,0,0,0
AGOURA,0070002A,6006,88,Y,0,VBM PORTION,29,4,8,6
AGOURA,0070002A,6006,88,Y,102,TOTAL,29,4,8,6
AGOURA,0070004A,7,88,N,1212,POLLING PLACE,171,57,40,34
AGOURA,0070004A,7,88,N,0,VBM PORTION,141,37,55,23
AGOURA,0070004A,7,88,N,1212,TOTAL,312,94,95,57
AGOURA,0070006A,8,88,N,1201,POLLING PLACE,191,46,69,34
AGOURA,0070006A,8,88,N,0,VBM PORTION,146,42,56,10
AGOURA,0070006A,8,88,N,1201,TOTAL,337,88,125,44
AGOURA,0070008B,9,56,N,846,POLLING PLACE,44,10,24,2
AGOURA,0070008B,9,56,N,0,VBM PORTION,99,29,32,10
AGOURA,0070008B,9,56,N,846,TOTAL,143,39,56,12
AGOURA,0070041A,10,88,N,716,POLLING PLACE,124,33,36,27
AGOURA,0070041A,10,88,N,0,VBM PORTION,69,19,22,12
AGOURA,0070041A,10,88,N,716,TOTAL,193,52,58,39
AGOURA HILLS,0080001B,11,88,N,1192,POLLING PLACE,124,41,40,21
AGOURA HILLS,0080001B,11,88,N,0,VBM PORTION,132,49,38,14
AGOURA HILLS,0080001B,11,88,N,1192,TOTAL,256,90,78,35
AGOURA HILLS,0080012A,12,88,N,1307,POLLING PLACE,157,47,57,21
AGOURA HILLS,0080012A,12,88,N,0,VBM PORTION,162,48,58,18
AGOURA HILLS,0080012A,12,88,N,1307,TOTAL,319,95,115,39
AGOURA HILLS,0080021B,13,88,N,874,POLLING PLACE,123,40,42,20
AGOURA HILLS,0080021B,13,88,N,0,VBM PORTION,88,26,40,10
AGOURA HILLS,0080021B,13,88,N,874,TOTAL,211,66,82,30
AGOURA HILLS,0080025A,14,88,N,1052,POLLING PLACE,123,41,42,21
AGOURA HILLS,0080025A,14,88,N,0,VBM PORTION,116,40,33,24
AGOURA HILLS,0080025A,14,88,N,1052,TOTAL,239,81,75,45
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,48,40,17
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,40,26,20
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,88,66,37
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,53,57,15
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,58,39,12
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,111,96,27
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,52,50,26
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,43,45,17
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,95,95,43
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,21,46,12
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,35,18,10
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,56,64,22
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,60,54,18
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,42,47,29
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,102,101,47
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,33,49,16
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,40,45,16
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,73,94,32
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,31,46,14
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,42,41,21
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,73,87,35
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,47,55,15
